SimulationName	Clock.Today	Barley.Leaf.Live.Wt	Barley.Stem.Wt	Barley.Ear.Wt	Barley.Grain.Wt	Barley.AboveGround.Wt	Barley.Dead.Wt	Barley.Leaf.LAI	Barley.Leaf.CoverGreen
()	()	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(g/m2)	()	(m2/m2)	()
MCPD10_11_Booma	6/10/2010	30.18161458	8.718385423	0	0	38.9	0	0.533079543	
MCPD10_11_Booma	20/10/2010	80.8485158	30.63481753	0	0	111.4833333	0	1.296978208	
MCPD10_11_Booma	2/11/2010	133.4465762	173.0534238	0	0	306.5	0	2.276817502	
MCPD10_11_Booma	15/11/2010	140.6973403	476.3193264	0	0	617.0166667	0	2.716947546	
MCPD10_11_Booma	22/11/2010	131.5143855	500.2835341	176.7354136	39.09385981	808.5333333	0	2.778836609	
MCPD10_11_Booma	29/11/2010	139.482364	619.4558594	299.8117766	155.9651926	1058.75	0	2.723993853	
MCPD10_11_Booma	6/12/2010	121.716995	627.6046339	608.9091528	465.0625688	1381.6	23.36921832	2.734225186	
MCPD10_11_Booma	21/12/2010	23.77111705	522.36985	1023.503369	879.6567849	1661.95	92.30566395	0.319668538	
MCPD10_11_Booma	17/01/2011	0	513.4319501	985.1599174	841.3133333	1582.1	83.50813252	0	
MCPD10_11_County	6/10/2010	19.12075461	4.812578723	0	0	23.93333333	0	0.355611776	
MCPD10_11_County	20/10/2010	56.7683423	20.8816577	0	0	77.65	0	1.026603223	
MCPD10_11_County	2/11/2010	142.0313057	128.9686943	0	0	271	0	2.612171891	
MCPD10_11_County	15/11/2010	177.1202009	432.8797991	0	0	610	0	3.644158144	
MCPD10_11_County	22/11/2010	171.7962095	480.4057748	166.8146824	48.85681736	819.0166667	0	3.349795718	
MCPD10_11_County	29/11/2010	192.8881911	668.7577164	280.0707592	159.4750636	1141.716667	0	4.106610054	
MCPD10_11_County	6/12/2010	134.5578476	604.2923324	413.6846753	293.0889797	1177.733333	25.19847811	2.710638919	
MCPD10_11_County	21/12/2010	30.17228164	513.315216	881.7052898	761.1095942	1519.616667	94.42387929	0.470504539	
MCPD10_11_County	17/01/2011	0	516.4934124	963.7423622	843.1466667	1566.733333	86.49755867	0	
MCPD10_11_Dash	6/10/2010	28.08743192	9.112568081	0	0	37.2	0	0.544819288	
MCPD10_11_Dash	20/10/2010	75.47065444	33.99601222	0	0	109.4666667	0	1.323096378	
MCPD10_11_Dash	2/11/2010	149.9675378	207.3491289	0	0	357.3166667	0	2.902728108	
MCPD10_11_Dash	15/11/2010	146.5247753	545.2418914	0	0	691.7666667	0	2.919666122	
MCPD10_11_Dash	22/11/2010	145.6403502	510.4853339	188.4909826	80.23496429	844.6166667	0	2.904235866	
MCPD10_11_Dash	29/11/2010	129.1699789	548.9962109	286.7838102	178.5277919	964.95	0	2.541315721	
MCPD10_11_Dash	6/12/2010	111.8624775	542.7288735	560.7413062	452.4852879	1225.416667	10.08400941	2.371385476	
MCPD10_11_Dash	21/12/2010	49.61489444	516.5914137	1023.087569	914.831551	1658.116667	68.82278921	0.834783923	
MCPD10_11_Dash	17/01/2011	0	558.9904673	965.512685	857.2566667	1623.6	99.09684778	0	
MCPD10_11_Hooded	6/10/2010	32.13930513	7.810694867	0	0	39.95	0	0.60331429	
MCPD10_11_Hooded	20/10/2010	93.80902779	30.29097221	0	0	124.1	0	1.5284804	
MCPD10_11_Hooded	2/11/2010	161.0841651	139.0325016	0	0	300.1166667	0	3.003962358	
MCPD10_11_Hooded	15/11/2010	196.4690515	432.5642819	0	0	629.0333333	0	3.86093711	
MCPD10_11_Hooded	22/11/2010	174.8653285	460.941818	143.3928535	37.02618974	779.2	0	3.546774457	
MCPD10_11_Hooded	29/11/2010	191.2640475	596.1980104	262.6379421	155.0695245	1050.1	0	3.734550285	
MCPD10_11_Hooded	6/12/2010	169.2929845	616.1950521	472.8095662	365.2411486	1274.15	15.85239726	3.18602936	
MCPD10_11_Hooded	21/12/2010	64.72994147	593.3514903	1016.719151	909.1507333	1775.65	100.8494173	0.999520229	
MCPD10_11_Hooded	17/01/2011	0	560.628649	936.4250842	828.8566667	1603.166667	106.1129334	0	
MCPD10_11_Omaka	6/10/2010	41.42313712	12.17686288	0	0	53.6	0	0.916988839	
MCPD10_11_Omaka	20/10/2010	122.846378	64.47028871	0	0	187.3166667	0	2.239711576	
MCPD10_11_Omaka	2/11/2010	177.5281782	233.2551551	0	0	410.7833333	0	3.454648445	
MCPD10_11_Omaka	15/11/2010	164.7067302	527.3432698	0	0	692.05	0	3.335349403	
MCPD10_11_Omaka	22/11/2010	176.2686749	584.9944415	210.0702169	75.16838882	971.3333333	0	3.696290618	
