SimulationName	Treatment	Clock.Today	Barley.Leaf.Live.Wt	Barley.Stem.Wt	Barley.Ear.Wt	Barley.Grain.Wt	Barley.Spike.Wt	Barley.AboveGround.Wt	Barley.Leaf.CoverGreen	Barley.Leaf.LAI	Barley.Phenology.CurrentStageName
()	()	()	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(g/m2)	()	(m2/m2)	
RS1988_89IrrControl	1	1988-09-20								0	
RS1988_89IrrEarlyDrought1	2	1988-09-20								0	
RS1988_89IrrEarlyDrought2	3	1988-09-20								0	
RS1988_89IrrEarlyDrought3	4	1988-09-20								0	
RS1988_89IrrEarlyDrought4	5	1988-09-20								0	
RS1988_89IrrMiddleDrought1	6	1988-09-20								0	
RS1988_89IrrMiddleDrought2	7	1988-09-20								0	
RS1988_89IrrMiddleDrought3	8	1988-09-20								0	
RS1988_89IrrMiddleDrought4	9	1988-09-20								0	
RS1988_89IrrLateDrought1	10	1988-09-20								0	
RS1988_89IrrLateDrought2	11	1988-09-20								0	
RS1988_89IrrLateDrought3	12	1988-09-20								0	
RS1988_89IrrControl	1	1988-10-12						57.8	38	1.162	
RS1988_89IrrEarlyDrought1	2	1988-10-12								0.935	
RS1988_89IrrEarlyDrought2	3	1988-10-12						48.5	30	0.906	
RS1988_89IrrEarlyDrought3	4	1988-10-12								0.74	
RS1988_89IrrEarlyDrought4	5	1988-10-12						56.4	38	1.16	
RS1988_89IrrMiddleDrought1	6	1988-10-12						15	33	0.977	
RS1988_89IrrMiddleDrought2	7	1988-10-12						49.4	33	0.995	
RS1988_89IrrMiddleDrought3	8	1988-10-12						40	25	0.73	
RS1988_89IrrMiddleDrought4	9	1988-10-12						38.2		0.717	
RS1988_89IrrLateDrought1	10	1988-10-12						49.3	30	0.884	
RS1988_89IrrLateDrought2	11	1988-10-12						50	34	1.027	
RS1988_89IrrLateDrought3	12	1988-10-12						48.1	32	0.949	
RS1988_89IrrControl	1	1988-10-26						139.3	111	2.897	
