SimulationName	Treatment	Clock.Today	Barley.Leaf.Live.Wt	Barley.Stem.Wt	Barley.Ear.Wt	Barley.Grain.Wt	Barley.Chaff.Wt	TotalAboveGroundWt	Barley.Leaf.CoverGreen	Barley.Leaf.LAI
()	()	()	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(g/m2)	()	(m2/m2)
RS_Barley_8889_Control	1	1988-09-20	*	*	*	*	*	*	*	0
RS_Barley_8889_EarlyDrought1	2	1988-09-20	*	*	*	*	*	*	*	0
RS_Barley_8889_EarlyDrought2	3	1988-09-20	*	*	*	*	*	*	*	0
RS_Barley_8889_EarlyDrought3	4	1988-09-20	*	*	*	*	*	*	*	0
RS_Barley_8889_EarlyDrought4	5	1988-09-20	*	*	*	*	*	*	*	0
RS_Barley_8889_MiddleDrought1	6	1988-09-20	*	*	*	*	*	*	*	0
RS_Barley_8889_MiddleDrought2	7	1988-09-20	*	*	*	*	*	*	*	0
RS_Barley_8889_MiddleDrought3	8	1988-09-20	*	*	*	*	*	*	*	0
RS_Barley_8889_MiddleDrought4	9	1988-09-20	*	*	*	*	*	*	*	0
RS_Barley_8889_LateDrought1	10	1988-09-20	*	*	*	*	*	*	*	0
RS_Barley_8889_LateDrought2	11	1988-09-20	*	*	*	*	*	*	*	0
RS_Barley_8889_LateDrought3	12	1988-09-20	*	*	*	*	*	*	*	0
RS_Barley_8889_Control	1	1988-10-12	*	*	*	*	*	578	38	1.162
RS_Barley_8889_EarlyDrought1	2	1988-10-12	*	*	*	*	*	*	*	0.935
RS_Barley_8889_EarlyDrought2	3	1988-10-12	*	*	*	*	*	485	30	0.906
RS_Barley_8889_EarlyDrought3	4	1988-10-12	*	*	*	*	*	*	*	0.74
RS_Barley_8889_EarlyDrought4	5	1988-10-12	*	*	*	*	*	564	38	1.16
RS_Barley_8889_MiddleDrought1	6	1988-10-12	*	*	*	*	*	150	33	0.977
RS_Barley_8889_MiddleDrought2	7	1988-10-12	*	*	*	*	*	494	33	0.995
RS_Barley_8889_MiddleDrought3	8	1988-10-12	*	*	*	*	*	400	25	0.73
RS_Barley_8889_MiddleDrought4	9	1988-10-12	*	*	*	*	*	382	*	0.717
RS_Barley_8889_LateDrought1	10	1988-10-12	*	*	*	*	*	493	30	0.884
RS_Barley_8889_LateDrought2	11	1988-10-12	*	*	*	*	*	500	34	1.027
RS_Barley_8889_LateDrought3	12	1988-10-12	*	*	*	*	*	481	32	0.949
RS_Barley_8889_Control	1	1988-10-26	*	*	*	*	*	1393	111	2.897
RS_Barley_8889_EarlyDrought1	2	1988-10-26	*	*	*	*	*	*	*	1.942
RS_Barley_8889_EarlyDrought2	3	1988-10-26	*	*	*	*	*	1175	91	2.116
RS_Barley_8889_EarlyDrought3	4	1988-10-26	*	*	*	*	*	*	*	2.394
RS_Barley_8889_EarlyDrought4	5	1988-10-26	*	*	*	*	*	1469	110	2.799
RS_Barley_8889_MiddleDrought1	6	1988-10-26	*	*	*	*	*	1500	107	3.257
RS_Barley_8889_MiddleDrought2	7	1988-10-26	*	*	*	*	*	1331	105	2.926
RS_Barley_8889_MiddleDrought3	8	1988-10-26	*	*	*	*	*	1440	94	2.968
RS_Barley_8889_MiddleDrought4	9	1988-10-26	*	*	*	*	*	1226	*	2.674
RS_Barley_8889_LateDrought1	10	1988-10-26	*	*	*	*	*	1743	109	3.84
RS_Barley_8889_LateDrought2	11	1988-10-26	*	*	*	*	*	1720	112	3.554
RS_Barley_8889_LateDrought3	12	1988-10-26	*	*	*	*	*	1684	111	3.752
RS_Barley_8889_Control	1	1988-11-09	*	*	*	*	*	3755	231	6.1
RS_Barley_8889_EarlyDrought1	2	1988-11-09	*	*	*	*	*	*	*	3.04
RS_Barley_8889_EarlyDrought2	3	1988-11-09	*	*	*	*	*	2780	189	3.22
RS_Barley_8889_EarlyDrought3	4	1988-11-09	*	*	*	*	*	*	*	3.32
RS_Barley_8889_EarlyDrought4	5	1988-11-09	*	*	*	*	*	2880	213	3.3
RS_Barley_8889_MiddleDrought1	6	1988-11-09	*	*	*	*	*	5280	235	8.32
RS_Barley_8889_MiddleDrought2	7	1988-11-09	*	*	*	*	*	3833	230	8.08
RS_Barley_8889_MiddleDrought3	8	1988-11-09	*	*	*	*	*	4350	217	6.96
RS_Barley_8889_MiddleDrought4	9	1988-11-09	*	*	*	*	*	4300	*	7.04
RS_Barley_8889_LateDrought1	10	1988-11-09	*	*	*	*	*	4058	234	6.46
RS_Barley_8889_LateDrought2	11	1988-11-09	*	*	*	*	*	4730	239	7.68
RS_Barley_8889_LateDrought3	12	1988-11-09	*	*	*	*	*	4535	238	7.76
RS_Barley_8889_Control	1	1988-11-23	*	*	*	*	*	6360	371	6.23
RS_Barley_8889_EarlyDrought1	2	1988-11-23	*	*	*	*	*	*	*	4.07
RS_Barley_8889_EarlyDrought2	3	1988-11-23	*	*	*	*	*	3930	295	2.31
RS_Barley_8889_EarlyDrought3	4	1988-11-23	*	*	*	*	*	*	*	3.12
RS_Barley_8889_EarlyDrought4	5	1988-11-23	*	*	*	*	*	4120	317	2.07
RS_Barley_8889_MiddleDrought1	6	1988-11-23	*	*	*	*	*	6500	377	5.63
RS_Barley_8889_MiddleDrought2	7	1988-11-23	*	*	*	*	*	7300	375	6.95
RS_Barley_8889_MiddleDrought3	8	1988-11-23	*	*	*	*	*	7240	360	6.88
RS_Barley_8889_MiddleDrought4	9	1988-11-23	*	*	*	*	*	6090	*	4.92
RS_Barley_8889_LateDrought1	10	1988-11-23	*	*	*	*	*	6710	376	6.7
RS_Barley_8889_LateDrought2	11	1988-11-23	*	*	*	*	*	7560	383	6.74
RS_Barley_8889_LateDrought3	12	1988-11-23	*	*	*	*	*	7130	383	6.92
RS_Barley_8889_Control	1	1988-11-28	*	*	*	*	*	9130	421	6.504
RS_Barley_8889_EarlyDrought1	2	1988-11-28	*	*	*	*	*	*	*	4.547
RS_Barley_8889_EarlyDrought2	3	1988-11-28	*	*	*	*	*	5350	328	2.13
RS_Barley_8889_EarlyDrought3	4	1988-11-28	*	*	*	*	*	*	*	2.462
RS_Barley_8889_EarlyDrought4	5	1988-11-28	*	*	*	*	*	4470	345	1.385
RS_Barley_8889_MiddleDrought1	6	1988-11-28	*	*	*	*	*	9030	426	5.654
RS_Barley_8889_MiddleDrought2	7	1988-11-28	*	*	*	*	*	9070	423	4.883
RS_Barley_8889_MiddleDrought3	8	1988-11-28	*	*	*	*	*	9090	408	4.373
RS_Barley_8889_MiddleDrought4	9	1988-11-28	*	*	*	*	*	8110	*	4.471
RS_Barley_8889_LateDrought1	10	1988-11-28	*	*	*	*	*	8300	426	7.172
RS_Barley_8889_LateDrought2	11	1988-11-28	*	*	*	*	*	8250	433	6.453
RS_Barley_8889_LateDrought3	12	1988-11-28	*	*	*	*	*	9280	432	6.261
RS_Barley_8889_Control	1	1988-12-03	*	*	*	*	*	9230	456	7.72229
RS_Barley_8889_EarlyDrought1	2	1988-12-03	*	*	*	*	*	*	*	4.58
RS_Barley_8889_EarlyDrought2	3	1988-12-03	*	*	*	*	*	5450	357	4.4
RS_Barley_8889_EarlyDrought3	4	1988-12-03	*	*	*	*	*	*	*	3.94
RS_Barley_8889_EarlyDrought4	5	1988-12-03	*	*	*	*	*	5360	361	1.13
RS_Barley_8889_MiddleDrought1	6	1988-12-03	*	*	*	*	*	9900	460	6.59396
RS_Barley_8889_MiddleDrought2	7	1988-12-03	*	*	*	*	*	8980	457	6.65846
RS_Barley_8889_MiddleDrought3	8	1988-12-03	*	*	*	*	*	8400	441	5.92007
RS_Barley_8889_MiddleDrought4	9	1988-12-03	*	*	*	*	*	9030	*	4.23109
RS_Barley_8889_LateDrought1	10	1988-12-03	*	*	*	*	*	11580	460	4.81887
RS_Barley_8889_LateDrought2	11	1988-12-03	*	*	*	*	*	10210	468	8.51991
RS_Barley_8889_LateDrought3	12	1988-12-03	*	*	*	*	*	9120	467	7.03198
RS_Barley_8889_Control	1	1988-12-08	*	*	*	*	*	10880	512	7.38124
RS_Barley_8889_EarlyDrought1	2	1988-12-08	*	*	*	*	*	*	*	4.53
RS_Barley_8889_EarlyDrought2	3	1988-12-08	*	*	*	*	*	7070	405	3.46
RS_Barley_8889_EarlyDrought3	4	1988-12-08	*	*	*	*	*	*	*	2.91
RS_Barley_8889_EarlyDrought4	5	1988-12-08	*	*	*	*	*	5460	383	1.08
RS_Barley_8889_MiddleDrought1	6	1988-12-08	*	*	*	*	*	10740	516	7.42202
RS_Barley_8889_MiddleDrought2	7	1988-12-08	*	*	*	*	*	11170	513	6.68893
RS_Barley_8889_MiddleDrought3	8	1988-12-08	*	*	*	*	*	10770	491	3.37641
RS_Barley_8889_MiddleDrought4	9	1988-12-08	*	*	*	*	*	9160	*	2.23517
RS_Barley_8889_LateDrought1	10	1988-12-08	*	*	*	*	*	10860	509	3.52855
RS_Barley_8889_LateDrought2	11	1988-12-08	*	*	*	*	*	12610	521	3.89764
RS_Barley_8889_LateDrought3	12	1988-12-08	*	*	*	*	*	10350	522	6.10243
RS_Barley_8889_Control	1	1988-12-13	*	*	*	*	*	12840	572	4.38495
RS_Barley_8889_EarlyDrought1	2	1988-12-13	*	*	*	*	*	*	*	4.56
RS_Barley_8889_EarlyDrought2	3	1988-12-13	*	*	*	*	*	5730	455	3.34
RS_Barley_8889_EarlyDrought3	4	1988-12-13	*	*	*	*	*	*	*	2.79
RS_Barley_8889_EarlyDrought4	5	1988-12-13	*	*	*	*	*	5340	412	1.45
RS_Barley_8889_MiddleDrought1	6	1988-12-13	*	*	*	*	*	11620	578	6.18632
RS_Barley_8889_MiddleDrought2	7	1988-12-13	*	*	*	*	*	12600	572	4.4339
RS_Barley_8889_MiddleDrought3	8	1988-12-13	*	*	*	*	*	12240	538	1.91619
RS_Barley_8889_MiddleDrought4	9	1988-12-13	*	*	*	*	*	10190	*	2.46848
