ApsimVersion = 7.10 r7fc53e8d02bde502a9365b74ca5d599e486e2c5e
Title = Gjunct85
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()             HI           TPLA           SPLA         Height
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()        (kg/ha)      (g(N)/m2)             ()        (mm/mm)             ()           (m2)           (m2)           (mm)
     08/05/1985               1          1.999            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        197.839          139.0          0.000          1.000          3.959          0.000          0.000          0.000          0.000
     09/05/1985               2          2.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        195.083          150.5          0.000          1.000          3.941          0.000          0.000          0.000          0.000
     10/05/1985               3          2.436            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        194.413          164.9          0.000          1.000          3.936          0.000          0.000          0.000          0.000
     11/05/1985               4          2.624            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        193.834          181.8          0.000          1.000          3.932          0.000          0.000          0.000          0.000
     12/05/1985               5          2.755            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        197.693          199.0          0.000          1.000          3.958          0.000          0.000          0.000          0.000
     13/05/1985               6          2.837            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        202.523          212.2          0.000          1.000          3.990          0.000          0.000          0.000          0.000
     14/05/1985               7          2.929            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        199.847          222.8          0.000          1.000          3.972          0.000          0.000          0.000          0.000
     15/05/1985               8          3.000            2.1           0.31           0.21           0.10           0.10           0.10           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.004          0.000        197.002          232.6          1.700          1.000          3.953          0.000          3.800          0.000          0.000
     16/05/1985               9          3.146            3.2           0.54           0.32           0.22           0.22           0.11           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.612          0.007          0.000        194.562          242.8          1.624          1.000          3.937          0.000          6.317          0.000          0.250
     17/05/1985              10          3.239            4.7           0.83           0.47           0.36           0.36           0.11           0.00           0.00           0.02           0.00           0.02           0.00           0.00           0.00           0.000          0.000          0.000          0.773          0.011          0.000        193.159          254.2          1.513          1.000          3.928          0.000         10.242          0.000          0.251
     18/05/1985              11          3.333            7.0           1.30           0.70           0.60           0.59           0.11           0.00           0.00           0.03           0.01           0.02           0.00           0.00           0.00           0.000          0.000          0.000          0.917          0.015          0.000        192.054          268.1          1.543          1.000          3.920          0.000         14.194          0.000          0.254
     19/05/1985              12          3.430           10.9           2.06           1.09           0.98           0.97           0.11           0.00           0.00           0.04           0.01           0.03           0.00           0.00           0.00           0.000          0.000          0.000          1.061          0.020          0.000        191.100          284.0          1.615          1.000          3.914          0.000         18.574          0.000          0.260
     20/05/1985              13          3.520           16.5           3.18           1.65           1.54           1.52           0.13           0.00           0.00           0.05           0.02           0.04           0.00           0.00           0.00           0.000          0.000          0.000          1.210          0.025          0.000        190.222          300.5          1.656          1.000          3.908          0.000         23.584          0.000          0.273
     21/05/1985              14          3.605           22.8           4.44           2.28           2.16           2.13           0.14           0.00           0.00           0.05           0.02           0.05           0.00           0.00           0.00           0.000          0.000          0.000          1.350          0.030          0.000        189.398          315.1          1.649          1.000          3.902          0.000         28.765          0.000          0.300
     22/05/1985              15          3.678           27.4           5.37           2.74           2.63           2.59           0.16           0.00           0.00           0.06           0.03           0.06           0.00           0.00           0.00           0.000          0.000          0.000          1.479          0.036          0.000        188.645          327.8          1.628          1.000          3.897          0.000         34.074          0.000          0.339
     23/05/1985              16          3.768           37.0           7.27           3.70           3.58           3.25           0.45           0.00           0.00           0.08           0.04           0.07           0.01           0.00           0.00           0.000          0.000          0.000          1.592          0.041          0.000        187.961          339.6          1.721          1.000          3.892          0.000         39.096          0.000          0.375
     24/05/1985              17          3.869           48.6           9.59           4.86           4.73           4.12           0.74           0.00           0.00           0.11           0.05           0.09           0.02           0.00           0.00           0.000          0.000          0.000          1.731          0.048          0.000        187.219          350.6          1.774          1.000          3.887          0.000         45.777          0.000          1.075
     25/05/1985              18          3.978           60.9          12.05           6.09           5.95           5.19           0.91           0.00           0.00           0.13           0.06           0.10           0.03           0.00           0.00           0.000          0.000          0.000          1.885          0.057          0.000        186.436          361.2          1.787          1.000          3.881          0.000         53.879          0.000          1.757
