ApsimVersion = 7.10 r7fc53e8d02bde502a9365b74ca5d599e486e2c5e
Title = Maize_K842_K842P9D
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()             HI           TPLA           SPLA         Height
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()        (kg/ha)      (g(N)/m2)             ()        (mm/mm)             ()           (m2)           (m2)           (mm)
     26/01/1984               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000            8.8          0.000          1.000          2.927          0.000          0.000          0.000          0.000
     27/01/1984               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000            8.8          0.000          1.000          2.884          0.000          0.000          0.000          0.000
     28/01/1984               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000            8.1          0.000          1.000          2.933          0.000          0.000          0.000          0.000
     29/01/1984               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000            7.7          0.000          1.000          2.885          0.000          0.000          0.000          0.000
     30/01/1984               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000            7.0          0.000          1.000          2.936          0.000          0.000          0.000          0.000
     31/01/1984               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000            6.7          0.000          1.000          2.886          0.000          0.000          0.000          0.000
     01/02/1984               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000            6.6          0.000          1.000          2.859          0.000          0.000          0.000          0.000
     02/02/1984               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000            6.6          0.000          1.000          2.839          0.000          0.000          0.000          0.000
     03/02/1984               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000            6.7          0.000          1.000          2.824          0.000          0.000          0.000          0.000
     04/02/1984               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000            6.8          0.000          1.000          2.818          0.000          0.000          0.000          0.000
