ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = Champ83
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3_demand,n_supply_soil
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2)
13/05/1983,1,1.99900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,177.47745500,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.80069500,1.00000000,1.00000000,0.00000000,0.00000000,0.04933600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,50.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.60408300,0.53868000,0.50843700,0.49842800,0.46334500,0.44001600,3.59573600,1.97290000,1.58504000,0.91748700,0.64219300,0.66604500,0.00000000,0.00000000
14/05/1983,2,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,183.65522800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,8.57258300,1.00000000,1.00000000,0.00000000,0.00000000,0.05014900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,83.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.60926000,0.55129100,0.51709000,0.49821800,0.46660000,0.44003500,6.83806700,2.75205000,1.66368100,0.92146300,0.64826900,0.66609700,0.00000000,0.00000000
15/05/1983,3,2.31006400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,181.69588500,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.38888900,1.00000000,1.00000000,0.00000000,0.00000000,0.21509700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,116.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.58935700,0.54313000,0.52103200,0.49854700,0.46983000,0.44005600,10.43073200,3.56913400,1.72807200,0.92741800,0.65434200,0.66615700,0.00000000,0.00000000
16/05/1983,4,2.44339800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,179.37078900,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,6.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.54729100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,149.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.56901900,0.53771900,0.52246600,0.49902700,0.47304100,0.44008100,14.12280800,4.47728400,1.78422700,0.93414600,0.66042100,0.66622600,0.00000000,0.00000000
17/05/1983,5,2.60208200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,177.98963200,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,7.14081100,1.00000000,1.00000000,0.00000000,0.00000000,1.10998000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,182.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.55702200,0.53331800,0.52244000,0.49948000,0.47620900,0.44010900,17.88216400,5.40981400,1.83270400,0.94100300,0.66646100,0.66630500,0.00000000,0.00000000
18/05/1983,6,2.79097100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,180.57682800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,8.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.62240600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,208.40000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.57029400,0.53123600,0.52197100,0.49988300,0.47930400,0.44014000,21.58014500,6.40188900,1.88348900,0.94789100,0.67240300,0.66639400,0.00000000,0.00000000
19/05/1983,7,2.99540100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,199.09421500,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,9.19932600,1.00000000,1.00000000,0.00000000,0.00000000,2.23674100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,234.80000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.59937100,0.58969300,0.53487600,0.50167200,0.48256700,0.44017600,22.46878600,9.66074900,2.39552600,0.96462800,0.67878100,0.66649500,0.00000000,0.00000000
20/05/1983,8,3.00000000,1.78000000,0.17800000,0.17800000,0.00000000,0.08900000,0.08900000,0.00000000,0.00000000,0.00797400,0.00000000,0.00574900,0.00222500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00338200,0.00000000,196.46998600,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,9.73648000,1.00000000,1.00000000,0.00169000,0.00169000,2.59758500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,261.20000000,0.00133500,0.00000000,0.00133500,0.50000000,0.57610000,0.58538200,0.53507500,0.50326100,0.48582400,0.44021600,26.01725200,10.61187400,2.54209500,0.98153600,0.68523900,0.66660900,0.00267000,0.00133500
21/05/1983,9,3.20102900,2.08681600,0.23936300,0.20868000,0.03068200,0.11954300,0.08913900,0.00000000,0.00000000,0.01124300,0.00016500,0.00904400,0.00219900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.64979200,0.00637700,0.00000000,195.15961500,1.41818300,1.00000000,0.00000000,7.16569100,0.00000000,0.25000000,10.57342800,1.00000000,1.00000000,0.00318400,0.00318400,3.14131200,0.00284300,0.00083800,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00368000,287.60000000,0.00343400,0.00011100,0.00332400,0.50818600,0.56391400,0.57913600,0.53525100,0.50487800,0.48886600,0.44026100,29.60297000,11.47526700,2.69827200,0.99930700,0.69136900,0.66673700,0.00675800,0.00343400
