ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Gains82
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
26/02/1982,1,1.99900000,0.00000000,0.07185600,0.00000000,0.07185600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00143700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,202.02953700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01885000,50.00000000,33.20286600,1.00000000,0.00000000,0.00000000
27/02/1982,2,2.00000000,0.00000000,0.07171200,0.00000000,0.07171200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00143400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,200.43688200,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01841200,83.00000000,39.56403700,1.00000000,0.00000000,0.00000000
28/02/1982,3,2.36965500,0.00000000,0.07156900,0.00000000,0.07156900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00143100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,198.78357300,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08294600,116.00000000,48.68529900,1.00000000,0.00000000,0.00000000
01/03/1982,4,2.63562300,0.00000000,0.07142600,0.00000000,0.07142600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00142900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,197.12192200,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.22443800,149.00000000,61.39913200,1.00000000,0.00000000,0.00000000
02/03/1982,5,2.94829700,0.00000000,0.07128300,0.00000000,0.07128300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00142600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,204.82742300,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.62922900,182.00000000,70.25654600,1.00000000,0.00000000,0.00000000
03/03/1982,6,3.00000000,1.44000000,0.21514000,0.14400000,0.07114000,0.07200000,0.07200000,0.00000000,0.00000000,0.00645100,0.00142300,0.00465100,0.00180000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00273600,0.00000000,235.49768100,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00136700,0.00136700,0.86978600,215.00000000,82.15856900,0.97673400,0.00000000,0.00000000
04/03/1982,7,3.22378000,1.63227700,0.25345300,0.16323000,0.09022600,0.09114100,0.07208700,0.00000000,0.00000000,0.00974900,0.00142000,0.00805200,0.00169600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69526200,0.00589500,0.00000000,248.67601800,1.36600700,1.00000000,0.00000000,8.18736400,0.00000000,0.25000000,0.00294300,0.00294300,1.19771500,248.00000000,93.08857700,0.93066500,0.00000000,0.00000000
05/03/1982,8,3.27322500,1.75215400,0.27724800,0.17522000,0.10203300,0.10302400,0.07219200,0.00000000,0.00000000,0.01431000,0.00141700,0.01243900,0.00187100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88007200,0.00934400,0.00000000,246.79480400,1.33124200,1.00000000,0.00000000,12.97776900,0.00000000,0.25030200,0.00466100,0.00466100,1.53644900,281.00000000,110.67084500,0.92245900,0.00000000,0.00000000
06/03/1982,9,3.34726300,2.75447700,0.47750900,0.27545000,0.20206100,0.20186300,0.07358500,0.00000000,0.00000000,0.01852300,0.00183500,0.01617700,0.00234600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95614100,0.01096500,0.00000000,244.70045500,1.47543100,1.00000000,0.00000000,15.22858600,0.00000000,0.25066500,0.00546700,0.00546700,2.03224800,314.00000000,126.49506400,0.95137400,0.00000000,0.00000000
