ApsimVersion = 7.10 r22b4d7414e7b8cfaa097e0463215cb4954556333
Title = Gjunct82
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            SLN        WaterSD             HI           TPLA           SPLA         Height    cover_green      cover_tot      sw_supply      RootDepth            NO3    nfact_photo          Yield     GrainYield
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()      (g(N)/m2)             ()             ()           (m2)           (m2)           (mm)             ()             ()           (mm)           (mm)        (kg/ha)             ()        (kg/ha)             ()
     24/04/1982               1          1.999            0.0           0.10           0.00           0.10           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        198.999          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.030         50.000          133.7          1.000            0.0          0.000
     24/04/1982               1          1.999            0.0           0.10           0.00           0.10           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        198.999          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.030         50.000          133.7          1.000            0.0          0.000
     25/04/1982               2          2.000            0.0           0.10           0.00           0.10           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        196.820          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.028         83.000          137.3          1.000            0.0          0.000
     25/04/1982               2          2.000            0.0           0.10           0.00           0.10           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        196.820          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.028         83.000          137.3          1.000            0.0          0.000
     26/04/1982               3          2.314            0.0           0.10           0.00           0.10           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        194.707          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.128        116.000          143.5          1.000            0.0          0.000
     26/04/1982               3          2.314            0.0           0.10           0.00           0.10           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        194.707          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.128        116.000          143.5          1.000            0.0          0.000
     27/04/1982               4          2.504            0.0           0.10           0.00           0.10           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        192.205          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.346        149.000          152.7          1.000            0.0          0.000
     27/04/1982               4          2.504            0.0           0.10           0.00           0.10           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        192.205          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.346        149.000          152.7          1.000            0.0          0.000
     28/04/1982               5          2.661            0.0           0.10           0.00           0.10           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        190.042          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.718        182.000          165.1          1.000            0.0          0.000
     28/04/1982               5          2.661            0.0           0.10           0.00           0.10           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        190.042          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.718        182.000          165.1          1.000            0.0          0.000
