ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Maize_DRK_DRKAH40
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
14/08/1991,1,1.99900000,0.00000000,0.06686600,0.00000000,0.06686600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,188.29185100,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00542900,30.00000000,88.15748600,1.00000000,0.00000000,0.00000000
15/08/1991,2,2.00000000,0.00000000,0.06673200,0.00000000,0.06673200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,188.06358700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00542900,63.00000000,103.77164500,1.00000000,0.00000000,0.00000000
16/08/1991,3,2.58153800,0.00000000,0.06659900,0.00000000,0.06659900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,193.26564400,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05253600,96.00000000,121.27526100,1.00000000,0.00000000,0.00000000
17/08/1991,4,2.85187400,0.00000000,0.06646600,0.00000000,0.06646600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00132900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,191.59317800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.17788700,129.00000000,139.54040500,1.00000000,0.00000000,0.00000000
18/08/1991,5,3.00000000,1.34000000,0.20033300,0.13400000,0.06633300,0.06700000,0.06700000,0.00000000,0.00000000,0.00600300,0.00132700,0.00432800,0.00167500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00254600,0.00000000,191.33309900,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00127200,0.00127200,0.43161700,162.00000000,157.57121300,0.97673400,0.00000000,0.00000000
19/08/1991,6,3.04309100,1.71090800,0.27438200,0.17109000,0.10329100,0.10392300,0.06716800,0.00000000,0.00000000,0.00884200,0.00132400,0.00689800,0.00194400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.63550200,0.00458600,0.00000000,191.07585100,1.50416000,1.00000000,0.00000000,6.84460100,0.00000000,0.25000000,0.00229000,0.00229000,0.77434300,195.00000000,174.89039600,0.95572500,0.00000000,0.00000000
20/08/1991,7,3.07803000,2.38271100,0.40853600,0.23827000,0.17026500,0.17061300,0.06765800,0.00000000,0.00000000,0.01287200,0.00169500,0.01047300,0.00239900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.76082600,0.00667000,0.00000000,190.81528500,1.57014000,1.00000000,0.00000000,9.95510700,0.00000000,0.25062700,0.00332900,0.00332900,1.05051900,228.00000000,192.15625000,0.96432500,0.00000000,0.00000000
21/08/1991,8,3.11516600,3.15906800,0.56346600,0.31591000,0.24756000,0.24743900,0.06846800,0.00000000,0.00000000,0.01712500,0.00236800,0.01457800,0.00254700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91133000,0.00941000,0.00000000,190.54897700,1.54917500,1.00000000,0.00000000,14.04517100,0.00000000,0.25245600,0.00469400,0.00469400,1.42098000,261.00000000,209.28846700,0.96178700,0.00000000,0.00000000
22/08/1991,9,3.14812800,4.68467700,0.86809300,0.46847000,0.39962600,0.39772800,0.07073900,0.00000000,0.00000000,0.02302300,0.00389500,0.02029600,0.00272800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.07130300,0.01265300,0.00000000,190.28577400,1.60408400,1.00000000,0.00000000,18.88451100,0.00000000,0.25547600,0.00630600,0.00630600,1.94135700,294.00000000,226.46192900,0.96808800,0.00000000,0.00000000
