ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Maize_DRK_DRKAWX
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
14/08/1991,1,1.99900000,0.00000000,0.06686600,0.00000000,0.06686600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,188.29185100,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00542900,30.00000000,88.15748600,1.00000000,0.00000000,0.00000000
15/08/1991,2,2.00000000,0.00000000,0.06673200,0.00000000,0.06673200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,188.06358700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00542900,63.00000000,103.77164500,1.00000000,0.00000000,0.00000000
16/08/1991,3,2.58153800,0.00000000,0.06659900,0.00000000,0.06659900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,193.26564400,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05253600,96.00000000,121.27526100,1.00000000,0.00000000,0.00000000
17/08/1991,4,2.85187400,0.00000000,0.06646600,0.00000000,0.06646600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00132900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,191.59317800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.17788700,129.00000000,139.54040500,1.00000000,0.00000000,0.00000000
18/08/1991,5,3.00000000,1.34000000,0.20033300,0.13400000,0.06633300,0.06700000,0.06700000,0.00000000,0.00000000,0.00600300,0.00132700,0.00432800,0.00167500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00254600,0.00000000,191.33309900,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00127200,0.00127200,0.43161700,162.00000000,157.57121300,0.97673400,0.00000000,0.00000000
19/08/1991,6,3.03892100,1.71090800,0.27438200,0.17109000,0.10329100,0.10392300,0.06716800,0.00000000,0.00000000,0.00860900,0.00132400,0.00661000,0.00199900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.63550200,0.00431100,0.00000000,191.07585100,1.53306400,1.00000000,0.00000000,6.43491700,0.00000000,0.25000000,0.00215300,0.00215300,0.77434300,195.00000000,174.89273100,0.95971700,0.00000000,0.00000000
20/08/1991,7,3.07047800,2.34518200,0.40103000,0.23452000,0.16651200,0.16688700,0.06763100,0.00000000,0.00000000,0.01219700,0.00167500,0.00974600,0.00245000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.76082600,0.00611600,0.00000000,190.81528500,1.59365200,1.00000000,0.00000000,9.12767600,0.00000000,0.25062700,0.00305300,0.00305300,1.05051900,228.00000000,192.16320800,0.96697500,0.00000000,0.00000000
21/08/1991,8,3.10402100,3.05906600,0.54347400,0.30591000,0.23756700,0.23753200,0.06837500,0.00000000,0.00000000,0.01588400,0.00230000,0.01330300,0.00258000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91133000,0.00848900,0.00000000,190.54978200,1.56722600,1.00000000,0.00000000,12.66942700,0.00000000,0.25235400,0.00423500,0.00423500,1.42098800,261.00000000,209.30155900,0.96398300,0.00000000,0.00000000
22/08/1991,9,3.13379300,4.43869900,0.81892500,0.44387000,0.37505500,0.37344100,0.07042900,0.00000000,0.00000000,0.02100200,0.00369700,0.01826400,0.00273800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.07130300,0.01129700,0.00000000,190.28768900,1.61672800,1.00000000,0.00000000,16.86144500,0.00000000,0.25513100,0.00563300,0.00563300,1.94140400,294.00000000,226.48408500,0.96938800,0.00000000,0.00000000
