ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Maize_DRK_DRKMH40
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
12/03/1991,1,1.99900000,0.00000000,0.06686600,0.00000000,0.06686600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,244.16635900,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00542900,30.00000000,62.18542500,1.00000000,0.00000000,0.00000000
13/03/1991,2,2.00000000,0.00000000,0.06673200,0.00000000,0.06673200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,241.99296600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00542900,63.00000000,93.82224300,1.00000000,0.00000000,0.00000000
14/03/1991,3,2.96984200,0.00000000,0.06659900,0.00000000,0.06659900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,239.98720600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05027500,96.00000000,126.47751600,1.00000000,0.00000000,0.00000000
15/03/1991,4,3.00000000,1.34000000,0.20046600,0.13400000,0.06646600,0.06700000,0.06700000,0.00000000,0.00000000,0.00600300,0.00132900,0.00432800,0.00167500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00254600,0.00000000,238.10202000,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00127200,0.00127200,0.17788700,129.00000000,158.41177400,0.97673400,0.00000000,0.00000000
16/03/1991,5,3.10032200,1.86872700,0.30607800,0.18687000,0.11920500,0.11963300,0.06723900,0.00000000,0.00000000,0.01076600,0.00132700,0.00867700,0.00208900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.71482700,0.00578000,0.00000000,236.31244700,1.50125100,1.00000000,0.00000000,8.62695800,0.00000000,0.25000000,0.00288600,0.00288600,0.42741200,162.00000000,188.62895200,0.95530200,0.00000000,0.00000000
17/03/1991,6,3.15565600,3.01399600,0.53489400,0.30140000,0.23349400,0.23310500,0.06829500,0.00000000,0.00000000,0.01908600,0.00241700,0.01642100,0.00266600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.94746800,0.00987800,0.00000000,234.59325800,1.66237700,1.00000000,0.00000000,14.74309500,0.00000000,0.25089400,0.00492700,0.00492700,0.77375400,195.00000000,216.01504500,0.97366000,0.00000000,0.00000000
18/03/1991,7,3.21042900,5.33021200,0.99767000,0.53302000,0.46464800,0.46100300,0.07201800,0.00000000,0.00000000,0.03549500,0.00492500,0.02521700,0.01027800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.18583000,0.01483400,0.00000000,232.92953500,1.70000000,1.00000000,0.00000000,22.13975400,0.00000000,0.25483100,0.00738900,0.00738900,1.03200000,228.00000000,241.28128100,0.97673400,0.00000000,0.00000000
19/03/1991,8,3.26580200,8.68096000,1.64735800,0.86810000,0.79879400,0.76818400,0.08038000,0.00000000,0.00000000,0.05910200,0.00846700,0.03333900,0.02491600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.42177200,0.02011000,0.00051100,231.30666400,1.65784700,1.00000000,0.00000000,30.01423100,0.76315400,0.26872400,0.01000400,0.01025700,1.40898100,261.00000000,263.97543300,0.97326300,0.00000000,0.00000000
20/03/1991,9,3.32205900,13.18626400,2.52271500,1.31863000,1.24772700,1.17862200,0.09636700,0.00000000,0.00000000,0.08802500,0.01322600,0.04402800,0.04224900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.66030300,0.02642800,0.00105200,229.72452900,1.66592800,1.00000000,0.00000000,39.44545700,1.56991100,0.29992400,0.01312700,0.01364600,1.92783300,294.00000000,283.81970200,0.97396600,0.00000000,0.00000000
21/03/1991,10,3.37987000,18.87429900,3.63019100,1.88743000,1.81403500,1.69261600,0.12354000,0.00000000,0.00000000,0.12034200,0.01922900,0.05690500,0.06075900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.90264200,0.03402000,0.00160700,228.17950800,1.67269000,1.00000000,0.00000000,50.77658000,2.39894100,0.35957700,0.01686600,0.01765600,2.64645000,327.00000000,300.03985600,0.97454000,0.00000000,0.00000000
22/03/1991,11,3.44379800,26.55597700,5.12904500,2.65560000,2.57857500,2.37944800,0.17102300,0.00000000,0.00000000,0.16797400,0.02733300,0.07236300,0.09190400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.15167200,0.04317200,0.00222200,226.67326000,1.67615200,1.00000000,0.00000000,64.43613700,3.31570800,0.46097100,0.02135500,0.02244100,3.25994900,360.00000000,312.54452500,0.97482900,0.00000000,0.00000000
23/03/1991,12,3.50443600,35.01045500,6.78177500,3.50105000,3.41886500,3.12618600,0.23672400,0.00000000,0.00000000,0.21611400,0.03624000,0.09282400,0.11860300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.42705700,0.05517900,0.00280400,225.16372300,1.68223800,1.00000000,0.00000000,82.35633300,4.18529100,0.63814400,0.02721200,0.02857500,3.84700000,393.00000000,321.49444600,0.97532900,0.00000000,0.00000000
24/03/1991,13,3.55171200,47.45538300,9.23604200,4.74554000,4.65652000,4.22229600,0.35722600,0.00000000,0.00000000,0.27218900,0.04935900,0.11617600,0.15055900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.68826800,0.06879000,0.00325800,223.71071200,1.68884800,1.00000000,0.00000000,102.67189900,4.86325100,0.88329900,0.03381000,0.03538300,4.48767700,426.00000000,327.17086800,0.97586200,0.00000000,0.00000000
