ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Maize_DRK_DRKNH40
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
07/11/1991,1,1.99900000,0.00000000,0.06686600,0.00000000,0.06686600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,200.36999900,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00542900,30.00000000,133.31887800,1.00000000,0.00000000,0.00000000
08/11/1991,2,2.00000000,0.00000000,0.06673200,0.00000000,0.06673200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,199.95774500,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00542900,63.00000000,172.55404700,1.00000000,0.00000000,0.00000000
09/11/1991,3,3.00000000,1.34000000,0.20059900,0.13400000,0.06659900,0.06700000,0.06700000,0.00000000,0.00000000,0.00600300,0.00133200,0.00432800,0.00167500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00254600,0.00000000,199.55647700,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00127200,0.00127200,0.05027500,96.00000000,211.64218100,0.97673400,0.00000000,0.00000000
10/11/1991,4,3.07737800,2.00451800,0.33336900,0.20045000,0.13291700,0.13315100,0.06730100,0.00000000,0.00000000,0.01253700,0.00138900,0.01040700,0.00213100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.79495000,0.00698600,0.00000000,199.16535600,1.48958100,1.00000000,0.00000000,10.42726800,0.00000000,0.25000000,0.00348700,0.00348700,0.17788700,129.00000000,248.66009500,0.95356700,0.00000000,0.00000000
11/11/1991,5,3.14023500,3.87808100,0.70781600,0.38781000,0.32000800,0.31837700,0.06943100,0.00000000,0.00000000,0.02714100,0.00339200,0.01954500,0.00759600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.03670100,0.01149700,0.00000000,198.76836000,1.70000000,1.00000000,0.00000000,17.15976100,0.00000000,0.25112300,0.00573200,0.00573200,0.43161700,162.00000000,282.41793800,0.97673400,0.00000000,0.00000000
12/11/1991,6,3.20559200,5.77867100,1.08729400,0.57787000,0.50942700,0.50478900,0.07307800,0.00000000,0.00000000,0.04240500,0.00540000,0.02973200,0.01267300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.30747100,0.01748900,0.00000000,198.34824800,1.70000000,1.00000000,0.00000000,26.10329200,0.00000000,0.25907200,0.00870600,0.00870600,0.77420100,195.00000000,310.53680400,0.97673400,0.00000000,0.00000000
13/11/1991,7,3.26901600,9.38392200,1.78878600,0.93839000,0.86893300,0.83589700,0.08395600,0.00000000,0.00000000,0.09124300,0.00921100,0.04065800,0.04968300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.58900900,0.02444700,0.00054200,197.93997600,1.66311400,1.00000000,0.00000000,36.48806900,0.80925400,0.27267800,0.01214900,0.01241700,1.04743600,228.00000000,334.94024700,0.97372400,0.00000000,0.00000000
14/11/1991,8,3.32526600,14.79348200,2.84694500,1.47935000,1.40815100,1.33107100,0.10772300,0.00000000,0.00000000,0.11725400,0.01492600,0.05464700,0.06080200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.86222200,0.03267700,0.00108300,197.45731000,1.67234100,1.00000000,0.00000000,48.77165800,1.61590600,0.31326900,0.01620600,0.01673800,1.41207300,261.00000000,354.27969400,0.97451100,0.00000000,0.00000000
15/11/1991,9,3.37901600,21.03576100,4.06896500,2.10358000,2.02956300,1.89462000,0.14478200,0.00000000,0.00000000,0.13941600,0.02151300,0.06955600,0.06718800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.10452900,0.04142500,0.00159900,197.02946100,1.67906800,1.00000000,0.00000000,61.82861200,2.38670700,0.40195100,0.02050000,0.02128200,1.92783300,294.00000000,368.49545300,0.97507000,0.00000000,0.00000000
16/11/1991,10,3.43223100,25.99322800,5.03313000,2.59932000,2.52125000,2.33011700,0.18176300,0.00000000,0.00000000,0.15886000,0.02672500,0.08617900,0.06914800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.33606800,0.05120000,0.00211000,196.60873800,1.68319100,1.00000000,0.00000000,76.41754800,3.14982600,0.54023200,0.02527500,0.02630300,2.64645000,327.00000000,378.29174800,0.97540700,0.00000000,0.00000000
17/11/1991,11,3.48722300,33.36873200,6.47798000,3.33687000,3.25375800,2.97582300,0.24839900,0.00000000,0.00000000,0.20066700,0.03449000,0.10514300,0.09110000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.56529900,0.06237300,0.00263900,198.41750700,1.68572000,1.00000000,0.00000000,93.09370300,3.93844600,0.67821900,0.03070500,0.03198300,3.40705200,360.00000000,384.38803100,0.97561100,0.00000000,0.00000000
18/11/1991,12,3.54972300,49.04040200,9.57132100,4.90404000,4.81441800,4.34088100,0.41602200,0.00000000,0.00000000,0.27380800,0.05103300,0.12748900,0.14088200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.80219000,0.07558900,0.00323900,196.42271800,1.68660100,1.00000000,0.00000000,112.82010300,4.83472600,0.92686100,0.03708900,0.03864800,3.82552800,393.00000000,388.45105000,0.97568200,0.00000000,0.00000000
19/11/1991,13,3.61115200,66.17705600,12.95217000,6.61771000,6.51845400,5.80341400,0.63030100,0.00000000,0.00000000,0.35135200,0.06909600,0.15700700,0.18791100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.07142000,0.09294300,0.00382900,195.77751500,1.68927300,1.00000000,0.00000000,138.72136000,5.71564200,1.55232100,0.04540800,0.04723400,4.42099600,426.00000000,391.26065100,0.97589500,0.00000000,0.00000000
20/11/1991,14,3.66880200,90.28732300,17.72277300,9.02873000,8.91644400,7.82273200,0.98359700,0.00000000,0.00000000,0.52329100,0.09451400,0.19082500,0.32509500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.33603600,0.11280100,0.00438300,195.09780500,1.69169300,1.00000000,0.00000000,168.36032700,6.54237800,2.35187000,0.05484000,0.05690900,4.97091200,459.00000000,392.26626600,0.97608700,0.00000000,0.00000000
21/11/1991,15,3.72844500,117.08744200,22.98085100,11.70874000,11.57862300,9.96722600,1.43500200,0.00000000,0.00000000,0.55930000,0.12242300,0.22493600,0.32509500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.58437700,0.13366600,0.00551100,193.98231100,1.68282300,1.00000000,0.00000000,199.50104900,8.22595000,3.67013800,0.06464800,0.06722200,5.44018300,492.00000000,393.74929800,0.97537700,0.00000000,0.00000000
22/11/1991,16,3.78028400,126.66599500,24.79700500,12.66660000,12.51332100,10.66715400,1.61653000,0.00000000,0.00000000,0.59541000,0.13073100,0.25918900,0.32509500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.84130000,0.15830100,0.00664500,195.22230900,1.63731900,1.00000000,0.00000000,236.27033300,9.91815100,5.35448500,0.07609900,0.07916400,5.89607100,525.00000000,394.03344700,0.97139300,0.00000000,0.00000000
23/11/1991,17,3.82474100,154.10947100,30.19274000,15.41095000,15.23264200,12.76259100,2.19750600,0.00000000,0.00000000,0.68777900,0.16147000,0.30890300,0.36610500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.06460300,0.18267500,0.00761800,193.23093000,1.69099900,1.00000000,0.00000000,272.64945900,11.36941700,6.03182700,0.08729000,0.09076000,5.98905700,558.00000000,393.77307100,0.97603200,0.00000000,0.00000000
