ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Maize_DRK_DRKO09
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
10/10/1991,1,1.99900000,0.00000000,0.06686600,0.00000000,0.06686600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,191.64027400,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00542900,30.00000000,119.36281600,1.00000000,0.00000000,0.00000000
11/10/1991,2,2.00000000,0.00000000,0.06673200,0.00000000,0.06673200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,195.26625800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00542900,63.00000000,150.90539600,1.00000000,0.00000000,0.00000000
12/10/1991,3,2.86150300,0.00000000,0.06659900,0.00000000,0.06659900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,194.93064900,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05027500,96.00000000,182.08190900,1.00000000,0.00000000,0.00000000
13/10/1991,4,3.00000000,1.34000000,0.20046600,0.13400000,0.06646600,0.06700000,0.06700000,0.00000000,0.00000000,0.00600300,0.00132900,0.00432800,0.00167500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00254600,0.00000000,194.62805900,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00127200,0.00127200,0.17788700,129.00000000,212.87030000,0.97673400,0.00000000,0.00000000
14/10/1991,5,3.08502000,1.91012100,0.31435700,0.19101000,0.12334500,0.12375400,0.06725800,0.00000000,0.00000000,0.01100300,0.00132700,0.00885100,0.00215200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.73365300,0.00581900,0.00000000,194.32989500,1.52104500,1.00000000,0.00000000,8.68484100,0.00000000,0.25000000,0.00290500,0.00290500,0.43161700,162.00000000,241.75853000,0.95810200,0.00000000,0.00000000
15/10/1991,6,3.14281600,3.11605400,0.55529700,0.31161000,0.24369100,0.24317700,0.06842800,0.00000000,0.00000000,0.01819000,0.00246800,0.01556400,0.00262700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95617200,0.00951700,0.00000000,194.02393300,1.63542300,1.00000000,0.00000000,14.20376400,0.00000000,0.25096400,0.00474700,0.00474700,0.77442500,195.00000000,269.59637500,0.97121400,0.00000000,0.00000000
16/10/1991,7,3.19843900,5.20279200,0.97215700,0.52028000,0.45187800,0.44843600,0.07184400,0.00000000,0.00000000,0.04434200,0.00479000,0.02486100,0.01948000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.21847900,0.01462400,0.00000000,193.71113600,1.70000000,1.00000000,0.00000000,21.82748000,0.00000000,0.25532900,0.00728600,0.00728600,1.05255100,228.00000000,297.15838600,0.97673400,0.00000000,0.00000000
17/10/1991,8,3.24727600,8.07072200,1.54335900,0.80707000,0.73776700,0.72620300,0.07938900,0.00000000,0.00000000,0.05716500,0.00782000,0.03474200,0.02235200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.47092200,0.02047800,0.00004200,193.34481000,1.69654200,1.00000000,0.00000000,30.56455100,0.06230200,0.26807300,0.01018700,0.01020800,1.42763300,261.00000000,320.98895300,0.97646700,0.00000000,0.00000000
18/10/1991,9,3.28522400,10.47602300,2.01186400,1.04760000,0.97682200,0.94654100,0.08850200,0.00000000,0.00000000,0.06521700,0.00986300,0.04229900,0.02235200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.69256400,0.02630400,0.00035000,199.08343500,1.60811000,1.00000000,0.00000000,39.25919000,0.52184100,0.29622800,0.01306600,0.01323800,2.20981700,294.00000000,334.79708900,0.96850800,0.00000000,0.00000000
