ApsimVersion = 7.10 rfe34a9f26db4a824bcfbc8bf7b5866b27e75688a
precision = 8
Title = Maize_Exp1 3N Yr1_1
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            SLN        WaterSD             HI           TPLA           SPLA         Height    cover_green      cover_tot      sw_supply      RootDepth            NO3    nfact_photo          Yield     GrainYield            RUE             TE          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)            vpd     transp_eff       sw_avail
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()      (g(N)/m2)             ()             ()           (m2)           (m2)           (mm)             ()             ()           (mm)           (mm)        (kg/ha)             ()        (kg/ha)             ()             ()             ()        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)             ()         (g/m2)           (mm)
     19/02/1999               1     1.99900000     0.00000000     0.06686600     0.00000000     0.06686600     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00133700     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   263.22470100     0.00000000     1.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.02192600    50.00000000    70.05904400     1.00000000     0.00000000     0.00000000     0.00000000     0.16648800     0.38562400     0.42920700     0.46000000     0.44000000     0.40000000     0.41000000     0.38000000     1.18525400     7.59330800     6.28121200
     20/02/1999               2     2.00000000     0.00000000     0.06673200     0.00000000     0.06673200     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00133500     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   259.98814000     0.00000000     1.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.01833100    83.00000000    70.04533400     1.00000000     0.00000000     0.00000000     0.00000000     0.11802000     0.36503100     0.42883900     0.45969200     0.44000000     0.40000000     0.41000000     0.38000000     1.39791800     6.43814800     5.25153200
     21/02/1999               3     2.61524300     0.00000000     0.06659900     0.00000000     0.06659900     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00133200     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   257.35666700     0.00000000     1.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.07071100   116.00000000    70.05486300     1.00000000     0.00000000     0.00000000     0.00000000     0.43743300     0.34857000     0.42837100     0.45938500     0.44000000     0.40000000     0.41000000     0.38000000     1.45485500     6.18618200     7.35132200
     22/02/1999               4     2.94045000     0.00000000     0.06646600     0.00000000     0.06646600     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00132900     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   255.94788000     0.00000000     1.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.17498300   149.00000000    70.14056400     1.00000000     0.00000000     0.00000000     0.00000000     0.96679200     0.34028900     0.42787600     0.45907800     0.44000000     0.40000000     0.41000000     0.38000000     1.62893700     5.52507700     9.31346800
     23/02/1999               5     3.00000000     1.34000000     0.20033300     0.13400000     0.06633300     0.06700000     0.06700000     0.00000000     0.00000000     0.00600300     0.00132700     0.00432800     0.00167500     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.50000000     0.00254600     0.00000000   254.85394700     1.70000000     1.00000000     0.00000000     3.80000000     0.00000000     0.00000000     0.00127200     0.00127200     0.34233200   181.51468500    70.31726100     0.97673400     0.00000000     0.00000000     0.00000000     1.78499100     0.33411800     0.42736900     0.45877000     0.44000000     0.40000000     0.41000000     0.38000000     1.72605300     5.21420900    11.04352400
     24/02/1999               6     3.26889700     1.62413100     0.25540300     0.16241000     0.09461300     0.09366200     0.06712900     0.00000000     0.00000000     0.01027800     0.00132400     0.00853300     0.00156100     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.73706900     0.00671800     0.00011600   253.92723500     1.27011900     1.00000000     0.00000000    10.02717300     0.17374000     0.25000000     0.00335300     0.00341100     0.45674900   214.51468500    70.41111800     0.90572400     0.00000000     0.00000000     0.02841300     3.85690200     0.32904400     0.42685800     0.45846200     0.44000000     0.40000000     0.41000000     0.38000000     1.06581400     8.44424700    15.61837400
     25/02/1999               7     3.41554300     2.90414800     0.51121700     0.29041000     0.22242600     0.22041000     0.06838200     0.00000000     0.00000000     0.01656000     0.00185500     0.01464300     0.00173300     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.95491500     0.01150600     0.00011600   263.17823800     1.27264200     1.00000000     0.00000000    17.17356000     0.17374000     0.25048000     0.00573700     0.00579400     1.13220900   247.51468500    69.76205400     0.90647900     0.00000000     0.00000000     0.12800200     6.78891700     0.38767600     0.42998300     0.45836000     0.44000000     0.40000000     0.41000000     0.38000000     1.50095800     5.99617100    30.13776900
     26/02/1999               8     3.57434300     4.24424700     0.77879200     0.42442000     0.35599100     0.35223200     0.07057000     0.00000000     0.00000000     0.02461000     0.00282900     0.02249900     0.00192700     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     1.18052400     0.01729000     0.00011600   262.18571500     1.30131500     1.00000000     0.00000000    25.80539800     0.17374000     0.25515600     0.00860800     0.00866500     1.52398300   280.51468500    69.14151000     0.91465500     0.00000000     0.00000000     0.13401000    12.24048000     0.38195500     0.42967200     0.45808300     0.44000000     0.40000000     0.41000000     0.38000000     1.12053200     8.03190100    34.85404200
     27/02/1999               9     3.73539300     5.97164900     1.12356100     0.59716000     0.52801900     0.52069900     0.07484300     0.00000000     0.00000000     0.03494500     0.00423000     0.03263700     0.00212500     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     1.42483200     0.02460400     0.00011600   260.52864800     1.32646200     1.00000000     0.00000000    36.72300400     0.17374000     0.26332000     0.01222700     0.01228400     2.05078300   313.51468500    68.59216300     0.92126000     0.00000000     0.00000000     0.17274000    19.34995400     0.37188300     0.42924100     0.45780600     0.44000000     0.40000000     0.41000000     0.38000000     0.95385500     9.43539700    38.88819100
     28/02/1999              10     3.88494300     7.73876100     1.46862500     0.77388000     0.70367400     0.68381100     0.08113900     0.00000000     0.00000000     0.04729400     0.00585000     0.04430700     0.00233000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     1.67260100     0.03298900     0.00046900   258.73874700     1.34311400     1.00000000     0.00000000    49.23663700     0.69954300     0.27926400     0.01635900     0.01658900     2.62410100   346.51468500    68.08503700     0.92536100     0.00000000     0.00000000     0.17671100    51.68531800     0.36105900     0.42875000     0.45752800     0.44000000     0.40000000     0.41000000     0.38000000     0.45693700    19.69639000    43.14988300
