ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = Maize_Exp1 3N Yr1_2
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3_demand,n_supply_soil,RUE,TE,nfact_photo,temp_stress,AccumTT,GrainTempFactor
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2),(),(),(),(),(oCd),()
19/02/1999,1,1.99900000,0.00000000,0.06686600,0.00000000,0.06686600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,263.22470100,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,16.93500000,1.00000000,1.00000000,0.00000000,0.00000000,0.02192600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,50.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.38562400,0.42920700,0.46000000,0.44000000,0.40000000,0.41000000,0.38000000,12.40763300,10.75596700,22.23769000,10.98821300,8.55048500,4.20143700,0.91761800,0.00000000,0.00000000,0.00000000,0.16648800,1.00000000,1.00000000,16.93500000,1.00000000
20/02/1999,2,2.00000000,0.00000000,0.06673200,0.00000000,0.06673200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,259.98814000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,13.78299500,1.00000000,1.00000000,0.00000000,0.00000000,0.01833100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,83.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.36503100,0.42883900,0.45969200,0.44000000,0.40000000,0.41000000,0.38000000,12.00479900,10.78122300,22.29486300,11.06340600,8.63116600,4.27776400,0.99211200,0.00000000,0.00000000,0.00000000,0.11802000,1.00000000,1.00000000,30.71799500,1.00000000
21/02/1999,3,2.61524300,0.00000000,0.06659900,0.00000000,0.06659900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,257.35666700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,13.91671200,1.00000000,1.00000000,0.00000000,0.00000000,0.07071100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,116.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.34857000,0.42837100,0.45938500,0.44000000,0.40000000,0.41000000,0.38000000,11.72899600,10.79260700,22.33275200,11.12031000,8.69354300,4.33657600,1.05008100,0.00000000,0.00000000,0.00000000,0.43743300,1.00000000,1.00000000,44.63470700,1.00000000
22/02/1999,4,2.94045000,0.00000000,0.06646600,0.00000000,0.06646600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00132900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,255.94788000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,14.63432600,1.00000000,1.00000000,0.00000000,0.00000000,0.17498300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,149.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.34028900,0.42787600,0.45907800,0.44000000,0.40000000,0.41000000,0.38000000,18.15274400,10.79549700,22.35691500,11.16403200,8.74255300,4.38234400,1.09558500,0.00000000,0.00000000,0.00000000,0.96679200,1.00000000,1.00000000,59.26903200,1.00000000
23/02/1999,5,3.00000000,1.34000000,0.20033300,0.13400000,0.06633300,0.06700000,0.06700000,0.00000000,0.00000000,0.00600300,0.00132700,0.00432800,0.00167500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00254600,0.00000000,254.85394700,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,15.40946100,1.00000000,1.00000000,0.00127200,0.00127200,0.34233200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,181.51468500,0.00100500,0.00000000,0.00100500,0.50000000,0.33411800,0.42736900,0.45877000,0.44000000,0.40000000,0.41000000,0.38000000,26.56020900,10.79274800,22.37122300,11.19820100,8.78175700,4.41831000,1.13160200,0.00201000,0.00100500,0.00000000,1.78499100,0.97673400,1.00000000,74.67849400,1.00000000
24/02/1999,6,3.26889700,1.62413100,0.25569600,0.16241000,0.09461300,0.09395500,0.06712900,0.00000000,0.00000000,0.01035100,0.00132400,0.00866700,0.00156100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.73706900,0.00675600,0.00009600,253.92723500,1.28292800,1.00000000,0.00000000,10.08310700,0.14271600,0.25000000,14.16000000,1.00000000,1.00000000,0.00337200,0.00342000,0.45674900,0.00321400,0.00015100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00336500,214.51468500,0.00434800,0.00022500,0.00412300,0.51329900,0.32904400,0.42685800,0.45846200,0.44000000,0.40000000,0.41000000,0.38000000,34.17022700,10.78055800,22.37637700,11.22304100,8.81114300,4.44475200,1.15840000,0.00847000,0.00434800,0.02841300,3.85690200,0.90949400,1.00000000,88.83849400,1.00000000
25/02/1999,7,3.41554300,2.91663300,0.51400800,0.29166000,0.22367400,0.22193900,0.06839400,0.00000000,0.00000000,0.01704500,0.00190000,0.01511700,0.00180500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95491500,0.01154400,0.00009600,263.17831400,1.30951600,1.00000000,0.00000000,17.22949300,0.14271600,0.25048000,14.66462000,1.00000000,1.00000000,0.00575500,0.00580300,1.13221300,0.01902300,0.00253300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02155500,247.51468500,0.00727300,0.00136400,0.00590800,0.55175800,0.38767500,0.42998300,0.45836000,0.44000000,0.40000000,0.41000000,0.38000000,40.32716800,11.07896100,22.38663500,11.24247000,8.83469100,4.46522000,1.17926200,0.01318100,0.00727300,0.12925000,6.78894000,0.91686500,1.00000000,103.50311400,1.00000000
26/02/1999,8,3.57434300,4.27648900,0.78553100,0.42765000,0.35921200,0.35570500,0.07061400,0.00000000,0.00000000,0.02520100,0.00291200,0.02306900,0.00200900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.18052400,0.01732700,0.00009600,262.18563100,1.33139500,1.00000000,0.00000000,25.86133200,0.14271600,0.25520200,15.87999900,1.00000000,1.00000000,0.00862600,0.00867400,1.52397900,0.01254900,0.00438200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01693100,280.51468500,0.00917100,0.00107200,0.00810000,0.53102400,0.38195400,0.42967200,0.45808300,0.44000000,0.40000000,0.41000000,0.38000000,45.41679000,11.07165700,22.38447400,11.25792300,8.85381600,4.48109500,1.19548500,0.01727100,0.00917100,0.13598600,12.24044600,0.92249700,1.00000000,119.38311300,1.00000000
27/02/1999,9,3.73539300,6.02246000,1.13400700,0.60225000,0.53309100,0.52598300,0.07493300,0.00000000,0.00000000,0.03558200,0.00434500,0.03325400,0.00220500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.42483200,0.02464200,0.00009600,260.52828600,1.34949200,1.00000000,0.00000000,36.77893800,0.14271600,0.26348500,16.10500000,1.00000000,1.00000000,0.01224500,0.01229300,2.05076100,0.01076900,0.00773600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01850400,313.51468500,0.01182000,0.00108300,0.01073700,0.52401200,0.37188000,0.42924000,0.45780600,0.44000000,0.40000000,0.41000000,0.38000000,49.14070900,11.04797600,22.37974000,11.27037400,8.86948300,4.49339400,1.20805000,0.02255700,0.01182000,0.17459700,19.34974300,0.92687600,1.00000000,135.48811400,1.00000000
28/02/1999,10,3.88494300,7.80303600,1.48125800,0.78030000,0.71008200,0.68989800,0.08127800,0.00000000,0.00000000,0.04774600,0.00596200,0.04483700,0.00239200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.67260100,0.03300500,0.00046900,258.73820900,1.35849300,1.00000000,0.00000000,49.26154600,0.69954300,0.27960100,14.95500000,1.00000000,1.00000000,0.01636700,0.01659800,2.62406200,0.00419400,0.00483900,0.00000700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00904000,346.51468500,0.01378900,0.00048400,0.01330500,0.50892900,0.36105600,0.42874900,0.45752800,0.44000000,0.40000000,0.41000000,0.38000000,51.63305700,11.01092400,22.37016900,11.28033400,8.88217700,4.50278800,1.21762600,0.02709400,0.01378900,0.17805800,51.68455400,0.92896500,1.00000000,150.44311400,1.00000000
01/03/1999,11,4.00000000,10.12363100,1.93269100,1.01236000,0.94072200,0.89944800,0.09252100,0.00000000,0.00000000,0.06231300,0.00805200,0.05852400,0.00269900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.90267800,0.04200800,0.00099500,268.73421900,1.39317300,1.00000000,0.00000000,62.69830700,1.48486800,0.30327500,16.80000000,1.00000000,1.00000000,0.02078500,0.02127200,3.97814000,0.01442400,0.01220300,0.00030300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.02693000,379.51468500,0.01667000,0.00143000,0.01524000,0.52240800,0.41874400,0.43528500,0.45867700,0.44000000,0.40000000,0.41000000,0.38000000,52.18793100,11.95797800,22.43187700,11.28934000,8.89363600,4.51067300,1.22555200,0.03191000,0.01667000,0.23205900,34.27976000,0.93648800,1.00000000,167.24311400,1.00000000
02/03/1999,12,4.15978100,13.94067600,2.68185200,1.39407000,1.32054500,1.24519100,0.11611600,0.00000000,0.00000000,0.08057900,0.01115300,0.07577500,0.00312300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.16114000,0.05384700,0.00153000,287.95150800,1.40724000,1.00000000,0.00000000,80.36846200,2.28304800,0.34522700,17.07500000,1.00000000,1.00000000,0.02656400,0.02730800,5.26905900,0.01997500,0.01894100,0.00155600,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.04047300,412.51468500,0.02138300,0.00183900,0.01954400,0.52246700,0.43643000,0.46487400,0.48740100,0.44822200,0.40246700,0.41074000,0.38022200,42.56800500,18.71180500,24.97550600,11.79237400,8.96936200,4.53692900,1.23529300,0.04092600,0.02138300,0.38170500,49.69293000,0.93931400,1.00000000,184.31811400,1.00000000
03/03/1999,13,4.29720900,19.46159100,3.76797900,1.94616000,1.86999500,1.73861500,0.15936900,0.00000000,0.00000000,0.10349200,0.01576300,0.09719500,0.00393700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.42383200,0.06796800,0.00213200,300.56663500,1.43001200,1.00000000,0.00000000,101.44452500,3.18243200,0.43326700,19.24000000,1.00000000,1.00000000,0.03341300,0.03444300,5.91994200,0.03663000,0.03928100,0.00722700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.08313800,445.51468500,0.02754500,0.00337100,0.02417400,0.53259200,0.43364100,0.46473800,0.49497600,0.47120500,0.41108800,0.41384400,0.38130900,36.02180100,21.30119500,26.84695200,13.32667500,9.23439600,4.62894600,1.25747500,0.05171800,0.02754500,0.55209100,39.31254600,0.94363300,1.00000000,203.55811300,1.00000000
