ApsimVersion = 7.10 r22b4d7414e7b8cfaa097e0463215cb4954556333
Title = Maize_Gatton-91_m1g8n2
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            SLN        WaterSD             HI           TPLA           SPLA         Height    cover_green      cover_tot      sw_supply      RootDepth            NO3    nfact_photo          Yield     GrainYield
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()      (g(N)/m2)             ()             ()           (m2)           (m2)           (mm)             ()             ()           (mm)           (mm)        (kg/ha)             ()        (kg/ha)             ()
     13/02/1991               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           50.2          1.000            0.0              ?
     14/02/1991               1          1.999            0.0           0.07           0.00           0.07           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        193.747          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.003         30.000           64.1          1.000            0.0          0.000
     14/02/1991               1          1.999            0.0           0.07           0.00           0.07           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        193.747          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.003         30.000           64.1          1.000            0.0          0.000
     15/02/1991               2          2.000            0.0           0.07           0.00           0.07           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        203.639          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.004         63.000           82.4          1.000            0.0          0.000
     15/02/1991               2          2.000            0.0           0.07           0.00           0.07           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        203.639          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.004         63.000           82.4          1.000            0.0          0.000
     16/02/1991               3          3.000            1.4           0.21           0.14           0.07           0.07           0.07           0.00           0.00           0.01           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.003          0.000        199.441          1.700          1.000          0.000          3.800          0.000          0.000          0.001          0.001          0.038         96.000          102.6          0.977            0.0          0.000
     16/02/1991               3          3.000            1.4           0.21           0.14           0.07           0.07           0.07           0.00           0.00           0.01           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.003          0.000        199.441          1.700          1.000          0.000          3.800          0.000          0.000          0.001          0.001          0.038         96.000          102.6          0.977            0.0          0.000
     17/02/1991               4          3.206            1.6           0.25           0.16           0.09           0.09           0.07           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.789          0.007          0.000        207.269          1.265          1.000          0.000         10.625          0.160          0.250          0.004          0.004          0.157        129.000          111.0          0.904            0.0          0.000
     17/02/1991               4          3.206            1.6           0.25           0.16           0.09           0.09           0.07           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.789          0.007          0.000        207.269          1.265          1.000          0.000         10.625          0.160          0.250          0.004          0.004          0.157        129.000          111.0          0.904            0.0          0.000
     18/02/1991               5          3.375            2.4           0.40           0.24           0.17           0.16           0.07           0.00           0.00           0.02           0.00           0.02           0.00           0.00           0.00           0.000          0.000          0.000          1.052          0.012          0.000        204.221          1.318          1.000          0.000         16.844          0.160          0.250          0.006          0.006          0.324        162.000          126.9          0.919            0.0          0.000
