ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Maize_K841_K841P5W
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
25/11/1983,1,1.99900000,0.00000000,0.04990000,0.00000000,0.04990000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00099800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,135.77260600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00136800,30.00000000,74.68994900,1.00000000,0.00000000,0.00000000
26/11/1983,2,2.00000000,0.00000000,0.04980000,0.00000000,0.04980000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00099600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,146.69843700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00367300,63.00000000,91.59958600,1.00000000,0.00000000,0.00000000
27/11/1983,3,3.00000000,1.00000000,0.14970100,0.10000000,0.04970100,0.05000000,0.05000000,0.00000000,0.00000000,0.00448000,0.00099400,0.00323000,0.00125000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00190000,0.00000000,142.36504400,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00095000,0.00095000,0.02518400,96.00000000,104.20436100,0.97673400,0.00000000,0.00000000
28/11/1983,4,3.30471300,1.36731700,0.22306500,0.13673000,0.08633300,0.08656500,0.05016600,0.00000000,0.00000000,0.00960100,0.00099200,0.00821200,0.00138900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.83354200,0.00601700,0.00000000,139.36164100,1.36484200,1.00000000,0.00000000,12.03421000,0.00000000,0.25000000,0.00300400,0.00300400,0.06983000,123.03619700,112.90327500,0.93040400,0.00000000,0.00000000
29/11/1983,5,3.51495800,2.60854900,0.47113800,0.26085000,0.21028300,0.20913900,0.05171600,0.00000000,0.00000000,0.01867900,0.00216300,0.01667800,0.00200100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.16072900,0.01007100,0.00000000,136.93658100,1.65599900,1.00000000,0.00000000,20.14226300,0.00000000,0.25083200,0.00502300,0.00502300,0.11507500,142.28866400,118.55748700,0.97310000,0.00000000,0.00000000
30/11/1983,6,3.72753700,4.74510100,0.89730700,0.47451000,0.42351800,0.41695900,0.05683000,0.00000000,0.00000000,0.03029300,0.00448900,0.02559200,0.00465700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.48418400,0.01508000,0.00002600,141.72825600,1.69706300,1.00000000,0.00000000,30.16037600,0.05219100,0.25858200,0.00751200,0.00752500,0.34732800,175.28866400,121.98487900,0.97650700,0.00000000,0.00000000
01/12/1983,7,3.94437700,8.75309000,1.68206500,0.87531000,0.82347000,0.78631600,0.07227900,0.00000000,0.00000000,0.04777900,0.00872900,0.03495400,0.01206900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.81122800,0.02097900,0.00045300,145.84370800,1.66611400,1.00000000,0.00000000,41.95889400,0.90557400,0.28415000,0.01043500,0.01065900,0.59076700,208.28866400,123.91531400,0.97398200,0.00000000,0.00000000
02/12/1983,8,4.00000000,13.79446400,2.67130300,1.37945000,1.32596000,1.24465900,0.10068300,0.00000000,0.00000000,0.07801800,0.01405500,0.04786700,0.02872600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.14482900,0.02855100,0.00085200,141.92846700,1.67657500,1.00000000,0.00000000,57.10106800,1.70337200,0.36139500,0.01417400,0.01459400,0.61943400,241.28866400,124.95854900,0.97486400,0.00000000,0.00000000
03/12/1983,9,4.16791600,19.96285600,3.88275100,1.99629000,1.94014800,1.79426500,0.14833800,0.00000000,0.00000000,0.10659700,0.02056600,0.06275800,0.04173000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.45715400,0.03731900,0.00125900,138.90330100,1.68165100,1.00000000,0.00000000,74.63815300,2.51778700,0.50341500,0.01848700,0.01910400,0.72096900,274.28866400,125.54362500,0.97528100,0.00000000,0.00000000
