ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Maize_K842_K842QK6D
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
07/02/1984,1,1.99900000,0.00000000,0.06986000,0.00000000,0.06986000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00139700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,141.45100800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00221900,30.00000000,72.03809400,1.00000000,0.00000000,0.00000000
08/02/1984,2,2.00000000,0.00000000,0.06972000,0.00000000,0.06972000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00139400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,138.19096000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00174400,50.67011600,88.88968700,1.00000000,0.00000000,0.00000000
09/02/1984,3,3.00000000,1.40000000,0.20958100,0.14000000,0.06958100,0.07000000,0.07000000,0.00000000,0.00000000,0.00627200,0.00139200,0.00452200,0.00175000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00266000,0.00000000,135.69653700,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00132900,0.00132900,0.00648200,64.72453700,101.17351500,0.97673400,0.00000000,0.00000000
10/02/1984,4,3.11891900,1.96042500,0.32033900,0.19604000,0.12548400,0.12460100,0.07025400,0.00000000,0.00000000,0.01227900,0.00138900,0.01058000,0.00157400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82384600,0.00840700,0.00008000,153.28077700,1.25846700,1.00000000,0.00000000,12.01033900,0.11445200,0.25000000,0.00419500,0.00423500,0.04054500,97.72453700,108.60132600,0.90216600,0.00000000,0.00000000
11/02/1984,5,3.19302300,3.11015700,0.55003500,0.31102000,0.24020600,0.23817200,0.07165700,0.00000000,0.00000000,0.02052000,0.00199900,0.01861600,0.00177800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.14692300,0.01464200,0.00008000,154.45774800,1.27144100,1.00000000,0.00000000,20.91716700,0.11445200,0.25090700,0.00729400,0.00733400,0.15122600,130.72453700,113.53890200,0.90612000,0.00000000,0.00000000
12/02/1984,6,3.24651200,5.15412800,0.95834900,0.51541000,0.44412300,0.43779000,0.07643600,0.00000000,0.00000000,0.03134500,0.00351200,0.02909300,0.00212600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.43307700,0.02158500,0.00008000,154.59386400,1.34786900,1.00000000,0.00000000,30.83536800,0.11445200,0.25591700,0.01073400,0.01077400,0.36582700,163.72453700,116.90641800,0.92649400,0.00000000,0.00000000
13/02/1984,7,3.32360300,7.67466700,1.45644000,0.76747000,0.69528900,0.67563400,0.08551700,0.00000000,0.00000000,0.04191600,0.00566800,0.03895900,0.00253600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.63962600,0.02747200,0.00028900,150.79742800,1.41811100,1.00000000,0.00000000,39.24626300,0.41233800,0.27298500,0.01364200,0.01378500,0.60229600,196.72453700,119.44646500,0.94141500,0.00000000,0.00000000
14/02/1984,8,3.40009700,12.17384300,2.33821100,1.21738000,1.14381600,1.08789100,0.10650400,0.00000000,0.00000000,0.05621200,0.00926300,0.05207800,0.00291500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.93731800,0.03699200,0.00085600,154.03670100,1.40780100,1.00000000,0.00000000,52.84592700,1.22226300,0.30542000,0.01832600,0.01874600,0.83370100,229.72453700,120.84780900,0.93942500,0.00000000,0.00000000
15/02/1984,9,3.48336400,18.32503600,3.54520200,1.83250000,1.75664700,1.64271900,0.14583500,0.00000000,0.00000000,0.07537100,0.01464500,0.06949800,0.00376700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.23270300,0.04849700,0.00147400,152.49563200,1.43303800,1.00000000,0.00000000,69.28170900,2.10627800,0.38037300,0.02395700,0.02467600,1.11370100,262.72453700,121.81818400,0.94418500,0.00000000,0.00000000
