ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Maize_K88_K88KCB
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
24/12/1988,1,1.99900000,0.00000000,0.06886200,0.00000000,0.06886200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00137700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,150.00528000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01838400,50.00000000,28.07785400,1.00000000,0.00000000,0.00000000
25/12/1988,2,2.00000000,0.00000000,0.06872400,0.00000000,0.06872400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00137400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,152.90054700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01817900,83.00000000,31.75134100,1.00000000,0.00000000,0.00000000
26/12/1988,3,2.90509400,0.00000000,0.06858700,0.00000000,0.06858700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00137200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,153.31457500,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08887000,116.00000000,34.31924400,1.00000000,0.00000000,0.00000000
27/12/1988,4,3.00000000,1.38000000,0.20645000,0.13800000,0.06845000,0.06900000,0.06900000,0.00000000,0.00000000,0.00618200,0.00136900,0.00445700,0.00172500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00262200,0.00000000,152.06040200,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00131000,0.00131000,0.23240000,149.00000000,36.08070800,0.97673400,0.00000000,0.00000000
28/12/1988,5,3.76978100,1.95226400,0.31412000,0.19523000,0.12553900,0.11932200,0.06925900,0.00000000,0.00000000,0.01610300,0.00136600,0.01358200,0.00154900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82938100,0.01225100,0.00068200,152.76316500,1.10864100,1.00000000,0.00000000,17.75536300,0.98878700,0.25000000,0.00610700,0.00644600,0.47614300,182.00000000,37.25694700,0.84360000,0.00000000,0.00000000
29/12/1988,6,4.00000000,4.11237700,0.74589200,0.41124000,0.34129900,0.33266300,0.07193000,0.00000000,0.00000000,0.03014000,0.00254800,0.02741500,0.00175300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.15784300,0.02291800,0.00068200,153.09766000,1.19620000,1.00000000,0.00000000,33.21481600,0.98878700,0.25093900,0.01139400,0.01173100,0.68555100,215.00000000,38.04430800,0.88089600,0.00000000,0.00000000
30/12/1988,7,4.24837800,7.63613200,1.44996100,0.76361000,0.69299200,0.67664500,0.08032300,0.00000000,0.00000000,0.04852400,0.00505500,0.04551600,0.00203600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.47322700,0.03595600,0.00068200,152.55917700,1.26587000,1.00000000,0.00000000,52.11015800,0.98878700,0.26061600,0.01781700,0.01815200,0.96506500,248.00000000,38.60643000,0.90444200,0.00000000,0.00000000
31/12/1988,8,4.42104500,14.68021900,2.84382700,1.46802000,1.39601500,1.34072200,0.10709100,0.00000000,0.00000000,0.07238500,0.01031300,0.06815800,0.00256400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.78861200,0.05145000,0.00120300,145.47921800,1.32475800,1.00000000,0.00000000,74.56456400,1.74317400,0.29102500,0.02539700,0.02598300,0.98881200,281.00000000,39.05441700,0.92082800,0.00000000,0.00000000
01/01/1989,9,4.59160500,25.97210700,5.07049100,2.59721000,2.52241200,2.37886000,0.16921900,0.00000000,0.00000000,0.10212900,0.01914400,0.09571300,0.00359000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.10399700,0.07014300,0.00205600,141.11423100,1.36454000,1.00000000,0.00000000,101.65676700,2.97912400,0.38800900,0.03446400,0.03545600,1.20926400,314.00000000,39.36867900,0.93033600,0.00000000,0.00000000
02/01/1989,10,4.76810300,39.31639500,7.70021800,3.93164000,3.85179600,3.57970700,0.26871500,0.00000000,0.00000000,0.14043600,0.03117400,0.13069900,0.00566700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.41553500,0.09268100,0.00293800,139.02156100,1.41020000,1.00000000,0.00000000,134.32081900,4.25810200,0.61311300,0.04528300,0.04668500,1.58365400,347.00000000,39.53801700,0.93989300,0.00000000,0.00000000
03/01/1989,11,4.95036000,59.40543300,11.66995800,5.94054000,5.85299600,5.35539400,0.46156800,0.00000000,0.00000000,0.18904900,0.04827900,0.17418600,0.00947900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.73791900,0.12090600,0.00384900,136.12280700,1.44066900,1.00000000,0.00000000,175.22680600,5.57880700,0.97360500,0.05866200,0.06047200,1.70469000,380.00000000,39.50444800,0.94555100,0.00000000,0.00000000
04/01/1989,12,5.00000000,86.61853400,15.23426900,8.66185000,6.73932200,7.70668000,0.73272800,0.05553900,0.00000000,0.25287800,0.06148900,0.22984300,0.01609700,0.00026300,0.00000000,0.00000000,0.00000000,0.00000000,3.07082200,0.15616300,0.00472700,133.65795500,1.47181300,1.00000000,0.00000000,226.32294700,6.85115600,1.67234800,0.07511100,0.07729400,1.86690600,413.00000000,39.26650600,0.95079800,0.00000000,0.00000000
05/01/1989,13,5.08239800,125.86150700,20.39198300,12.58615000,8.02086200,11.00800500,1.20985300,0.15326300,0.00000000,0.33465000,0.07548300,0.29767600,0.02820000,0.00079800,0.00000000,0.00000000,0.00000000,0.00000000,3.39153500,0.19700600,0.00558900,139.48576400,1.51099900,1.00000000,0.00000000,285.51570900,8.09932700,2.65481200,0.09380700,0.09633600,3.06058300,446.00000000,38.90053900,0.95670300,0.00000000,0.00000000
06/01/1989,14,5.12947600,172.25485600,26.49470200,17.22549000,9.53580100,14.79268600,1.87642500,0.28979000,0.00000000,0.43082200,0.09052000,0.37480700,0.04511300,0.00162000,0.00000000,0.00000000,0.00000000,0.00000000,3.70615400,0.24442300,0.00644000,135.78609100,1.53343200,1.00000000,0.00000000,354.23685800,9.33388400,4.38352500,0.11503900,0.11788400,3.18071500,479.00000000,38.40565500,0.95976600,0.00000000,0.00000000
07/01/1989,15,5.17747500,240.88426200,35.54463700,24.08843000,11.78149900,20.22438800,3.01562800,0.52312100,0.00000000,0.55116700,0.11063500,0.46456100,0.07286900,0.00310500,0.00000000,0.00000000,0.00000000,0.00000000,4.01734200,0.29921700,0.00730900,132.45372400,1.55258900,1.00000000,0.00000000,433.64777000,10.59261800,6.79864300,0.13895500,0.14209600,3.15324400,512.00000000,37.59919400,0.96221200,0.00000000,0.00000000
08/01/1989,16,5.22513100,317.98131700,45.71306900,31.79813000,14.30213900,26.12175800,4.46847900,0.82069300,0.00000000,0.69646900,0.13438800,0.56898900,0.11029100,0.00520800,0.00000000,0.00000000,0.00000000,0.00000000,4.33462400,0.36381600,0.00817100,147.36171300,1.56394800,1.00000000,0.00000000,527.26958900,11.84233500,10.92618900,0.16632200,0.16972100,4.83387500,545.00000000,36.44334800,0.96359400,0.00000000,0.00000000
09/01/1989,17,5.27278600,416.48255600,58.71929200,41.64826000,17.52407600,33.39602800,6.55179300,1.24739500,0.00000000,0.87656700,0.16444800,0.68999400,0.16485300,0.00838000,0.00000000,0.00000000,0.00000000,0.00000000,4.64963200,0.43740100,0.00903400,152.06791300,1.57748400,1.00000000,0.00000000,633.91505700,13.09205100,16.19014200,0.19643800,0.20005900,5.13185200,578.00000000,40.40602900,0.96517500,0.00000000,0.00000000
10/01/1989,18,5.31998000,529.18801400,73.53674500,52.91880000,21.20830800,41.34683400,9.19319700,1.78840600,0.00000000,1.09104800,0.20007500,0.82574200,0.23655000,0.01267300,0.00000000,0.00000000,0.00000000,0.00000000,4.96464100,0.52000400,0.01076100,152.47160300,1.58795400,1.00000000,0.00000000,753.62887300,15.59507300,23.73838000,0.22895000,0.23308700,5.52600400,611.00000000,44.15853900,0.96635100,0.00000000,0.00000000
11/01/1989,19,5.36705800,659.68072700,90.70568100,65.96807000,25.47215100,50.21093000,12.54722500,2.47537600,0.00000000,1.34111600,0.24130900,0.97715600,0.32684100,0.01823100,0.00000000,0.00000000,0.00000000,0.00000000,5.27659700,0.61184100,0.01251700,142.73838000,1.59707600,1.00000000,0.00000000,886.72549600,18.14125100,33.30868500,0.26355500,0.26814900,5.01447000,644.00000000,46.78117400,0.96734500,0.00000000,0.00000000
12/01/1989,20,5.41453800,801.55432600,109.39161000,80.15543000,30.10303500,59.49458800,16.50747600,3.28651100,0.00000000,1.63466400,0.27774800,1.21611300,0.37563400,0.02132400,0.00000000,0.00000000,0.00000000,0.00000000,5.83846300,0.79671600,0.01428900,135.06506000,1.52640700,1.00000000,0.00000000,1154.66085800,20.70921400,45.46096000,0.32857800,0.33335800,4.53429400,677.00000000,47.60275300,0.95883000,0.00000000,0.00000000
13/01/1989,21,5.46213500,955.14115700,129.62399700,95.51412000,35.11119400,68.83848800,21.38814800,4.28616700,0.00000000,1.87304700,0.31037200,1.38049800,0.44258700,0.02567300,0.00000000,0.00000000,0.00000000,0.00000000,6.40513700,0.90939800,0.01606600,128.49095300,1.51803500,0.81264900,0.00000000,1317.96834100,23.28347100,59.80969200,0.36536100,0.37043900,4.10811700,710.00000000,47.38541000,0.95768800,0.00000000,0.00000000
14/01/1989,22,5.50737300,1072.31219000,145.00799600,107.23122000,38.90761600,71.12397300,29.10888400,5.86752200,0.00000000,2.05275300,0.33510200,1.43814900,0.55463100,0.03306500,0.00000000,0.00000000,0.00000000,0.00000000,6.97319900,0.92703000,0.01775400,122.23597700,1.55135200,0.54691300,0.00000000,1343.52174300,25.73020500,77.49328600,0.37093100,0.37649100,3.72460300,743.00000000,46.69129600,0.96205900,0.00000000,0.00000000
15/01/1989,23,5.55018900,1169.17834800,157.69079200,116.91783000,42.02638400,71.00138600,37.14877500,7.51424700,0.00000000,2.19198400,0.35373900,1.45908500,0.66310100,0.04037000,0.00000000,0.00000000,0.00000000,0.00000000,7.51312100,0.92543200,0.01935200,117.15847400,1.57665200,0.40676900,0.00000000,1341.20608400,28.04586400,105.46696500,0.37042900,0.37649100,3.52832000,776.00000000,45.95100400,0.96508000,0.00000000,0.00000000
16/01/1989,24,5.59502000,1327.86286000,178.57916800,132.78629000,47.17892000,77.29609500,44.98491300,9.11923900,0.00000000,2.49539800,0.39842000,1.55080800,0.85860900,0.05389300,0.00000000,0.00000000,0.00000000,0.00000000,8.02411900,0.97517800,0.02102500,128.36589800,1.59028300,0.62591800,0.00000000,1413.30104200,30.47057000,134.59700000,0.38589500,0.39231700,5.16997900,809.00000000,44.41818200,0.96660800,0.00000000,0.00000000
