ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Maize_K88_K88XL82
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
24/12/1988,1,1.99900000,0.00000000,0.06886200,0.00000000,0.06886200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00137700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,150.00528000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01838400,50.00000000,28.07785400,1.00000000,0.00000000,0.00000000
25/12/1988,2,2.00000000,0.00000000,0.06872400,0.00000000,0.06872400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00137400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,152.90054700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01817900,83.00000000,31.75134100,1.00000000,0.00000000,0.00000000
26/12/1988,3,2.90509400,0.00000000,0.06858700,0.00000000,0.06858700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00137200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,153.31457500,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08887000,116.00000000,34.31924400,1.00000000,0.00000000,0.00000000
27/12/1988,4,3.00000000,1.38000000,0.20645000,0.13800000,0.06845000,0.06900000,0.06900000,0.00000000,0.00000000,0.00618200,0.00136900,0.00445700,0.00172500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00262200,0.00000000,152.06040200,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00131000,0.00131000,0.23240000,149.00000000,36.08070800,0.97673400,0.00000000,0.00000000
28/12/1988,5,3.38489000,1.95226400,0.31876100,0.19523000,0.12553900,0.12396300,0.06925900,0.00000000,0.00000000,0.01170200,0.00136600,0.00995300,0.00154900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82938100,0.00799500,0.00012900,152.76316500,1.24484800,1.00000000,0.00000000,11.58736600,0.18735900,0.25000000,0.00399000,0.00405400,0.47614300,182.00000000,37.30095700,0.89784600,0.00000000,0.00000000
29/12/1988,6,3.58989000,3.45422400,0.61890200,0.34542000,0.27548400,0.27230200,0.07111600,0.00000000,0.00000000,0.01934000,0.00219200,0.01734800,0.00179200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.15784300,0.01353000,0.00012900,153.08190200,1.28216000,1.00000000,0.00000000,19.60928500,0.18735900,0.25093900,0.00674200,0.00680700,0.68477900,215.00000000,38.15599800,0.90927200,0.00000000,0.00000000
30/12/1988,7,3.79489000,5.60662200,1.04671900,0.56066000,0.49017300,0.48030300,0.07624300,0.00000000,0.00000000,0.02889300,0.00377200,0.02652900,0.00204700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.47322700,0.02014000,0.00021800,152.53004100,1.31725200,1.00000000,0.00000000,29.18786200,0.31571500,0.25766800,0.01001900,0.01012700,0.96344200,248.00000000,38.81586100,0.91890000,0.00000000,0.00000000
31/12/1988,8,3.99989000,9.63106200,1.83371400,0.96311000,0.89163700,0.85054200,0.09153600,0.00000000,0.00000000,0.04112500,0.00686000,0.03763700,0.00242200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.78861200,0.02788100,0.00077200,145.48968500,1.34990900,1.00000000,0.00000000,40.40737200,1.11916000,0.27624200,0.01384400,0.01422500,0.98964500,281.00000000,39.40214200,0.92697400,0.00000000,0.00000000
01/01/1989,9,4.00000000,15.82738800,3.05052200,1.58274000,1.50948600,1.41540700,0.12562800,0.00000000,0.00000000,0.05665500,0.01179200,0.05177100,0.00306300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.10399700,0.03752700,0.00132000,141.17897000,1.37955200,1.00000000,0.00000000,54.38735300,1.91358500,0.33165100,0.01858900,0.01923600,1.21423000,314.00000000,39.90001700,0.93363000,0.00000000,0.00000000
02/01/1989,10,4.19450700,23.05038200,4.46837100,2.30504000,2.22876600,2.06012100,0.17948300,0.00000000,0.00000000,0.07675200,0.01838500,0.06985800,0.00426800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.41553500,0.04923000,0.00188700,139.15917600,1.41899700,1.00000000,0.00000000,71.34810400,2.73545600,0.45517500,0.02431500,0.02523500,1.59538900,347.00000000,40.31136300,0.94158300,0.00000000,0.00000000
03/01/1989,11,4.29667900,33.85645700,6.59752600,3.38565000,3.30491600,3.00938900,0.28322100,0.00000000,0.00000000,0.10236200,0.02765300,0.09249500,0.00639200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.73791900,0.06396900,0.00247400,136.40019600,1.44593200,1.00000000,0.00000000,92.70939200,3.58577200,0.65030200,0.03147900,0.03267600,1.73060900,380.00000000,40.59415800,0.94647400,0.00000000,0.00000000
04/01/1989,12,4.39511000,48.47349400,9.48513000,4.84735000,4.76001000,4.26641800,0.45870100,0.00000000,0.00000000,0.13610500,0.04053700,0.12145800,0.01034100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.07082200,0.08246400,0.00303800,134.12557200,1.47286500,1.00000000,0.00000000,119.51273700,4.40357300,1.02616200,0.04039300,0.04185000,1.91441300,413.00000000,40.69153600,0.95096600,0.00000000,0.00000000
05/01/1989,13,4.49167000,69.58146900,13.66506800,6.95815000,6.86128800,6.03588000,0.76790100,0.00000000,0.00000000,0.18002000,0.05919900,0.15674900,0.01813100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.39153500,0.10396900,0.00359200,140.26572400,1.50764900,1.00000000,0.00000000,150.68028500,5.20583400,1.66196100,0.05065700,0.05236000,3.14250300,446.00000000,40.65536900,0.95622700,0.00000000,0.00000000
06/01/1989,14,4.58717700,94.62182200,18.61224200,9.46218000,9.35160000,8.05927600,1.20136600,0.00000000,0.00000000,0.23283300,0.08203700,0.19689500,0.02964600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.70615400,0.12883400,0.00434600,137.05144900,1.52828300,1.00000000,0.00000000,186.71594600,6.29874600,2.78224900,0.06238600,0.06442100,3.31889000,479.00000000,40.52610800,0.95908200,0.00000000,0.00000000
07/01/1989,15,4.68455500,131.81328500,25.94311100,13.18133000,13.05204400,10.94590200,1.94516500,0.00000000,0.00000000,0.30037100,0.11406300,0.24290500,0.04920400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.01734200,0.15723600,0.00562100,134.30570200,1.54484400,1.00000000,0.00000000,227.87850100,8.14579100,4.35277400,0.07560700,0.07820100,3.35663300,512.00000000,40.16085100,0.96124100,0.00000000,0.00000000
08/01/1989,16,4.78123500,173.72040100,34.20511900,17.37204000,17.21665100,14.09183700,2.89663100,0.00000000,0.00000000,0.38412900,0.15256100,0.29734100,0.07655700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.33462400,0.19108900,0.00688600,148.77426100,1.55603100,1.00000000,0.00000000,276.94110300,9.97960400,7.04770000,0.09112200,0.09424600,4.78443600,545.00000000,39.46462600,0.96263600,0.00000000,0.00000000
09/01/1989,17,4.87791500,227.63232500,44.85403600,22.76323000,22.57341000,18.01020700,4.27041900,0.00000000,0.00000000,0.48845400,0.20055200,0.36034600,0.11589500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.64963200,0.23011100,0.00815100,151.39427200,1.56597000,1.00000000,0.00000000,333.49360100,11.81341600,10.49503800,0.10868300,0.11230800,5.05101500,578.00000000,42.76762400,0.96383400,0.00000000,0.00000000
10/01/1989,18,4.97365800,289.90225400,57.16091800,28.99023000,28.75525600,22.37695500,6.02870700,0.00000000,0.00000000,0.61780100,0.25843300,0.43354500,0.17006900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.96464100,0.27501800,0.00940400,151.74561300,1.57642300,1.00000000,0.00000000,398.57694300,13.62946100,15.47253100,0.12847400,0.13256200,5.43888500,611.00000000,46.50242600,0.96505300,0.00000000,0.00000000
11/01/1989,19,5.00000000,363.02889900,66.72442300,36.30289000,31.11092500,27.32026100,7.90826700,0.38497000,0.00000000,0.77140200,0.29879300,0.51714700,0.23590600,0.00217700,0.00000000,0.00000000,0.00000000,0.00000000,5.27659700,0.32576900,0.01065400,143.73966200,1.58746700,1.00000000,0.00000000,472.12876400,15.44102800,21.84314200,0.15031100,0.15482500,5.09441400,644.00000000,49.89570600,0.96629800,0.00000000,0.00000000
12/01/1989,20,5.05096000,443.85471400,77.30481100,44.38547000,33.71595500,32.57734600,10.16443400,0.84707600,0.00000000,0.94391600,0.33191100,0.61103500,0.30967100,0.00502700,0.00000000,0.00000000,0.00000000,0.00000000,5.58778500,0.38302700,0.01191500,137.65028400,1.59528100,1.00000000,0.00000000,555.11087600,17.26809500,28.65314100,0.17429100,0.17919600,4.77203800,677.00000000,52.14254800,0.96715200,0.00000000,0.00000000
13/01/1989,21,5.08069400,544.97550900,90.56541100,54.49755000,36.98550900,38.90425400,13.20566800,1.46998000,0.00000000,1.15180800,0.36615800,0.71763700,0.40421400,0.00954200,0.00000000,0.00000000,0.00000000,0.00000000,5.90163500,0.44773400,0.01330800,132.62480900,1.60282100,1.00000000,0.00000000,648.88959800,19.28682900,36.82765600,0.20057800,0.20588000,4.51686100,710.00000000,52.92157000,0.96795500,0.00000000,0.00000000
14/01/1989,22,5.10895500,663.85186200,106.07854500,66.38519000,40.83445800,45.95645500,17.03361500,2.25401700,0.00000000,1.39999800,0.40465000,0.83505400,0.52464700,0.01582100,0.00000000,0.00000000,0.00000000,0.00000000,6.21625400,0.51898000,0.01583100,127.72894700,1.60902900,1.00000000,0.00000000,752.14508400,22.94391600,47.84662200,0.22855500,0.23463700,4.27736600,743.00000000,52.08398400,0.96860300,0.00000000,0.00000000
15/01/1989,23,5.13570200,774.55021900,120.50319000,77.45502000,44.40583500,49.76765600,22.87853100,3.45116900,0.00000000,1.61460300,0.43502300,0.89294800,0.66959600,0.02369800,0.00000000,0.00000000,0.00000000,0.00000000,6.51528800,0.54881400,0.01822000,122.21026800,1.62704900,0.74933400,0.00000000,795.38268200,26.40508700,61.71599600,0.23997700,0.24687000,4.03215300,776.00000000,50.94977600,0.97041000,0.00000000,0.00000000
16/01/1989,24,5.16370800,939.69864500,142.14255200,93.96986000,49.76692100,58.37601800,29.24455900,4.75505400,0.00000000,1.94562800,0.48500500,1.00405800,0.87405700,0.03508300,0.00000000,0.00000000,0.00000000,0.00000000,6.79830100,0.61707300,0.02072000,132.19794500,1.62713100,1.00000000,0.00000000,894.30842700,30.02924800,82.89322700,0.26547900,0.27304900,5.53722600,809.00000000,48.88119900,0.97041700,0.00000000,0.00000000
