ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Maize_MSN_M3S2
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
06/02/1985,1,1.99900000,0.00000000,0.06986000,0.00000000,0.06986000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00139700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,144.39139600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00444800,30.00000000,287.38729900,1.00000000,0.00000000,0.00000000
07/02/1985,2,2.00000000,0.00000000,0.06972000,0.00000000,0.06972000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00139400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,152.42268400,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00604300,63.00000000,290.28256200,1.00000000,0.00000000,0.00000000
08/02/1985,3,3.00000000,1.40000000,0.20958100,0.14000000,0.06958100,0.07000000,0.07000000,0.00000000,0.00000000,0.00627200,0.00139200,0.00452200,0.00175000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00266000,0.00000000,153.13885500,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00132900,0.00132900,0.05551100,96.00000000,290.50250200,0.97673400,0.00000000,0.00000000
09/02/1985,4,3.30128800,1.90207900,0.30985700,0.19021000,0.11965000,0.11998000,0.07022700,0.00000000,0.00000000,0.01220300,0.00138900,0.01063000,0.00157300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82153800,0.00821700,0.00000000,153.59115600,1.29372600,1.00000000,0.00000000,11.73788100,0.00000000,0.25000000,0.00410000,0.00410000,0.20286000,129.00000000,290.32452400,0.91256000,0.00000000,0.00000000
10/02/1985,5,3.50178800,3.41860900,0.61292400,0.34186000,0.27106300,0.26979300,0.07206800,0.00000000,0.00000000,0.02073400,0.00224600,0.01884400,0.00189000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.14615400,0.01416400,0.00000000,153.49640700,1.33043800,1.00000000,0.00000000,20.23417000,0.00000000,0.25081200,0.00705700,0.00705700,0.48894600,162.00000000,289.28353900,0.92225800,0.00000000,0.00000000
11/02/1985,6,3.71436300,6.03151800,1.13496400,0.60315000,0.53181200,0.52498300,0.07816900,0.00000000,0.00000000,0.03250500,0.00439500,0.03016000,0.00234400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.45461500,0.02127800,0.00000000,150.90681500,1.41741600,1.00000000,0.00000000,30.39771800,0.00031700,0.25738400,0.01058300,0.01058300,0.86768900,195.00000000,289.19866900,0.94128300,0.00000000,0.00000000
12/02/1985,7,3.92086300,11.15789900,2.13946500,1.11579000,1.04338700,0.99890000,0.09717800,0.00000000,0.00000000,0.04837100,0.00911800,0.04443500,0.00305900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.78165300,0.03000100,0.00059200,150.43229700,1.48110400,1.00000000,0.00000000,42.85926500,0.84606900,0.27917500,0.01488900,0.01518000,1.10848400,228.00000000,288.79605100,0.95226500,0.00000000,0.00000000
13/02/1985,8,4.00000000,18.90480200,3.66220900,1.89048000,1.81599000,1.70673000,0.13948900,0.00000000,0.00000000,0.07064200,0.01742200,0.06409600,0.00474700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.09934600,0.04063800,0.00117700,144.46721600,1.57724900,1.00000000,0.00000000,58.05450700,1.68111900,0.34706500,0.02011400,0.02069000,1.14554500,261.00000000,288.55847200,0.96514800,0.00000000,0.00000000
14/02/1985,9,4.16536000,29.43691000,5.73686100,2.94369000,2.86556900,2.65359600,0.21769600,0.00000000,0.00000000,0.09366500,0.02705400,0.08421600,0.00675800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.41211900,0.05357500,0.00174500,151.39651900,1.57191500,1.00000000,0.00000000,76.53593500,2.49268500,0.49817600,0.02643200,0.02728100,2.05413300,294.00000000,287.73202500,0.96453300,0.00000000,0.00000000
