ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = Quincy779
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
24/03/1977,1,1.99900000,0.00000000,0.08982000,0.00000000,0.08982000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00179600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,200.96496600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01856400,50.00000000,57.48472600,1.00000000,0.00000000,0.00000000
25/03/1977,2,2.00000000,0.00000000,0.08964000,0.00000000,0.08964000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00179300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,199.14599600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01812100,83.00000000,68.73009500,1.00000000,0.00000000,0.00000000
26/03/1977,3,2.49052200,0.00000000,0.08946100,0.00000000,0.08946100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,197.20561600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08144400,116.00000000,83.19975300,1.00000000,0.00000000,0.00000000
27/03/1977,4,2.76163600,0.00000000,0.08928200,0.00000000,0.08928200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,196.58239700,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.22970400,149.00000000,100.22538800,1.00000000,0.00000000,0.00000000
28/03/1977,5,3.00000000,1.80000000,0.26910400,0.18000000,0.08910400,0.09000000,0.09000000,0.00000000,0.00000000,0.00806400,0.00178200,0.00581400,0.00225000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00342000,0.00000000,195.38978200,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00170900,0.00170900,0.48671800,182.00000000,119.45021100,0.97673400,0.00000000,0.00000000
29/03/1977,6,3.16245600,2.05872900,0.32067100,0.20587000,0.11479800,0.11575600,0.09011700,0.00000000,0.00000000,0.01259800,0.00177900,0.01033000,0.00226800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.70153800,0.00749600,0.00000000,194.77449400,1.37812100,1.00000000,0.00000000,8.32838800,0.00000000,0.25000000,0.00374100,0.00374100,0.69476400,215.00000000,139.89402800,0.93332200,0.00000000,0.00000000
30/03/1977,7,3.30195600,2.44305500,0.39730700,0.24431000,0.15300100,0.15384700,0.09045800,0.00000000,0.00000000,0.01911000,0.00177500,0.01664000,0.00247000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91495400,0.01249700,0.00000000,193.96641900,1.33153600,1.00000000,0.00000000,13.88543500,0.00000000,0.25032600,0.00622900,0.00622900,0.93610400,248.00000000,160.06532300,0.92253200,0.00000000,0.00000000
31/03/1977,8,3.42596800,3.96194800,0.70077900,0.39619000,0.30458500,0.30345700,0.09273800,0.00000000,0.00000000,0.02845200,0.00263300,0.02559900,0.00285400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.12956900,0.01835500,0.00000000,192.05975000,1.39464400,1.00000000,0.00000000,20.39439100,0.00000000,0.25127300,0.00913500,0.00913500,1.22795200,281.00000000,179.22058100,0.93678900,0.00000000,0.00000000
01/04/1977,9,3.58196800,6.14458800,1.13669800,0.61446000,0.52223900,0.51676700,0.09769100,0.00000000,0.00000000,0.03976000,0.00456900,0.03642900,0.00333100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.32035700,0.02440300,0.00000000,190.48576400,1.49280500,1.00000000,0.00000000,27.11450700,0.00000000,0.25760500,0.01212700,0.01212700,1.64027900,314.00000000,198.66507000,0.95405300,0.00000000,0.00000000
