ApsimVersion = 7.10 r22b4d7414e7b8cfaa097e0463215cb4954556333
Title = bmw102
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            SLN        WaterSD             HI           TPLA           SPLA         Height    cover_green      cover_tot      sw_supply      RootDepth            NO3    nfact_photo          Yield     GrainYield
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()      (g(N)/m2)             ()             ()           (m2)           (m2)           (mm)             ()             ()           (mm)           (mm)        (kg/ha)             ()        (kg/ha)             ()
     28/10/1985               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          113.2          1.000            0.0              ?
     29/10/1985               1          1.999            0.0           0.06           0.00           0.06           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         98.870          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.028         50.000          119.2          1.000            0.0          0.000
     29/10/1985               1          1.999            0.0           0.06           0.00           0.06           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         98.870          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.028         50.000          119.2          1.000            0.0          0.000
     30/10/1985               2          2.000            0.0           0.06           0.00           0.06           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         95.429          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.018         83.000          124.5          1.000            0.0          0.000
     30/10/1985               2          2.000            0.0           0.06           0.00           0.06           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         95.429          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.018         83.000          124.5          1.000            0.0          0.000
     31/10/1985               3          2.517            0.0           0.06           0.00           0.06           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         93.383          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.053        102.605          129.1          1.000            0.0          0.000
     31/10/1985               3          2.517            0.0           0.06           0.00           0.06           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         93.383          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.053        102.605          129.1          1.000            0.0          0.000
     01/11/1985               4          2.782            0.0           0.06           0.00           0.06           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         93.150          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.096        135.605          133.2          1.000            0.0          0.000
     01/11/1985               4          2.782            0.0           0.06           0.00           0.06           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         93.150          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.096        135.605          133.2          1.000            0.0          0.000
     02/11/1985               5          3.000            1.2           0.19           0.12           0.06           0.06           0.06           0.00           0.00           0.01           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.002          0.000         92.922          1.700          1.000          0.000          3.800          0.000          0.000          0.001          0.001          0.155        168.605          136.6          0.977            0.0          0.000
     02/11/1985               5          3.000            1.2           0.19           0.12           0.06           0.06           0.06           0.00           0.00           0.01           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.002          0.000         92.922          1.700          1.000          0.000          3.800          0.000          0.000          0.001          0.001          0.155        168.605          136.6          0.977            0.0          0.000
     03/11/1985               6          3.296            1.6           0.25           0.16           0.10           0.09           0.06           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.690          0.008          0.000         92.697          1.216          1.000          0.000         12.297          0.298          0.250          0.004          0.004          0.264        201.605          139.5          0.888            0.0          0.000
     03/11/1985               6          3.296            1.6           0.25           0.16           0.10           0.09           0.06           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.690          0.008          0.000         92.697          1.216          1.000          0.000         12.297          0.298          0.250          0.004          0.004          0.264        201.605          139.5          0.888            0.0          0.000
     04/11/1985               7          3.542            2.7           0.48           0.27           0.21           0.21           0.06           0.00           0.00           0.02           0.00           0.02           0.00           0.00           0.00           0.000          0.000          0.000          0.879          0.014          0.000         92.473          1.267          1.000          0.000         21.797          0.298          0.251          0.007          0.007          0.455        227.287          141.8          0.905            0.0          0.000
     04/11/1985               7          3.542            2.7           0.48           0.27           0.21           0.21           0.06           0.00           0.00           0.02           0.00           0.02           0.00           0.00           0.00           0.000          0.000          0.000          0.879          0.014          0.000         92.473          1.267          1.000          0.000         21.797          0.298          0.251          0.007          0.007          0.455        227.287          141.8          0.905            0.0          0.000
     05/11/1985               8          3.803            5.0           0.93           0.50           0.43           0.43           0.07           0.00           0.00           0.03           0.00           0.03           0.00           0.00           0.00           0.000          0.000          0.000          1.068          0.020          0.000         92.242          1.354          1.000          0.000         32.596          0.298          0.255          0.010          0.010          0.560        252.692          143.6          0.928            0.0          0.000
     05/11/1985               8          3.803            5.0           0.93           0.50           0.43           0.43           0.07           0.00           0.00           0.03           0.00           0.03           0.00           0.00           0.00           0.000          0.000          0.000          1.068          0.020          0.000         92.242          1.354          1.000          0.000         32.596          0.298          0.255          0.010          0.010          0.560        252.692          143.6          0.928            0.0          0.000
     06/11/1985               9          4.000            7.0           1.33           0.70           0.63           0.62           0.07           0.00           0.00           0.04           0.01           0.04           0.00           0.00           0.00           0.000          0.000          0.000          1.268          0.028          0.000         93.969          1.369          1.000          0.000         45.527          0.298          0.267          0.014          0.014          0.835        277.841          145.1          0.931            0.0          0.000
     06/11/1985               9          4.000            7.0           1.33           0.70           0.63           0.62           0.07           0.00           0.00           0.04           0.01           0.04           0.00           0.00           0.00           0.000          0.000          0.000          1.268          0.028          0.000         93.969          1.369          1.000          0.000         45.527          0.298          0.267          0.014          0.014          0.835        277.841          145.1          0.931            0.0          0.000
     07/11/1985              10          4.129           10.9           2.11           1.09           1.02           1.00           0.08           0.00           0.00           0.06           0.01           0.05           0.00           0.00           0.00           0.000          0.000          0.000          1.451          0.037          0.000         91.982          1.432          1.000          0.000         58.933          0.298          0.283          0.018          0.018          0.837        302.691          146.1          0.944            0.0          0.000
     07/11/1985              10          4.129           10.9           2.11           1.09           1.02           1.00           0.08           0.00           0.00           0.06           0.01           0.05           0.00           0.00           0.00           0.000          0.000          0.000          1.451          0.037          0.000         91.982          1.432          1.000          0.000         58.933          0.298          0.283          0.018          0.018          0.837        302.691          146.1          0.944            0.0          0.000
     08/11/1985              11          4.245           15.4           3.02           1.54           1.48           1.44           0.10           0.00           0.00           0.07           0.01           0.07           0.00           0.00           0.00           0.000          0.000          0.000          1.630          0.046          0.000         91.727          1.467          1.000          0.000         73.609          0.317          0.328          0.023          0.023          0.994        322.992          147.0          0.950            0.0          0.000
     08/11/1985              11          4.245           15.4           3.02           1.54           1.48           1.44           0.10           0.00           0.00           0.07           0.01           0.07           0.00           0.00           0.00           0.000          0.000          0.000          1.630          0.046          0.000         91.727          1.467          1.000          0.000         73.609          0.317          0.328          0.023          0.023          0.994        322.992          147.0          0.950            0.0          0.000
     09/11/1985              12          4.358           21.3           4.17           2.13           2.06           1.99           0.13           0.00           0.00           0.09           0.02           0.08           0.00           0.00           0.00           0.000          0.000          0.000          1.818          0.056          0.001         91.470          1.477          1.000          0.000         90.103          1.168          0.395          0.028          0.028          1.052        343.279          147.5          0.952            0.0          0.000
     09/11/1985              12          4.358           21.3           4.17           2.13           2.06           1.99           0.13           0.00           0.00           0.09           0.02           0.08           0.00           0.00           0.00           0.000          0.000          0.000          1.818          0.056          0.001         91.470          1.477          1.000          0.000         90.103          1.168          0.395          0.028          0.028          1.052        343.279          147.5          0.952            0.0          0.000
     10/11/1985              13          4.476           30.4           5.97           3.04           2.97           2.82           0.18           0.00           0.00           0.11           0.03           0.10           0.00           0.00           0.00           0.000          0.000          0.000          2.002          0.067          0.001         91.208          1.507          1.000          0.000        108.231          2.050          0.505          0.033          0.034          1.092        363.539          147.9          0.956            0.0          0.000
     10/11/1985              13          4.476           30.4           5.97           3.04           2.97           2.82           0.18           0.00           0.00           0.11           0.03           0.10           0.00           0.00           0.00           0.000          0.000          0.000          2.002          0.067          0.001         91.208          1.507          1.000          0.000        108.231          2.050          0.505          0.033          0.034          1.092        363.539          147.9          0.956            0.0          0.000
     11/11/1985              14          4.594           42.2           8.29           4.22           4.14           3.89           0.26           0.00           0.00           0.13           0.04           0.12           0.01           0.00           0.00           0.000          0.000          0.000          2.193          0.081          0.002         90.902          1.527          1.000          0.000        129.370          2.938          0.712          0.039          0.040          1.124        383.757          148.1          0.959            0.0          0.000
     11/11/1985              14          4.594           42.2           8.29           4.22           4.14           3.89           0.26           0.00           0.00           0.13           0.04           0.12           0.01           0.00           0.00           0.000          0.000          0.000          2.193          0.081          0.002         90.902          1.527          1.000          0.000        129.370          2.938          0.712          0.039          0.040          1.124        383.757          148.1          0.959            0.0          0.000
     12/11/1985              15          4.713           54.4          10.70           5.44           5.35           4.99           0.36           0.00           0.00           0.16           0.05           0.15           0.01           0.00           0.00           0.000          0.000          0.000          2.386          0.096          0.002        116.428          1.535          1.000          0.000        153.297          3.831          1.033          0.047          0.048          2.978        414.001          148.2          0.960            0.0          0.000
     12/11/1985              15          4.713           54.4          10.70           5.44           5.35           4.99           0.36           0.00           0.00           0.16           0.05           0.15           0.01           0.00           0.00           0.000          0.000          0.000          2.386          0.096          0.002        116.428          1.535          1.000          0.000        153.297          3.831          1.033          0.047          0.048          2.978        414.001          148.2          0.960            0.0          0.000
     13/11/1985              16          4.815           71.3          14.03           7.13           7.03           6.49           0.51           0.00           0.00           0.19           0.06           0.17           0.01           0.00           0.00           0.000          0.000          0.000          2.579          0.112          0.003        111.497          1.552          1.000          0.000        180.378          4.600          1.428          0.055          0.056          2.667        446.839          148.1          0.962            0.0          0.000
     13/11/1985              16          4.815           71.3          14.03           7.13           7.03           6.49           0.51           0.00           0.00           0.19           0.06           0.17           0.01           0.00           0.00           0.000          0.000          0.000          2.579          0.112          0.003        111.497          1.552          1.000          0.000        180.378          4.600          1.428          0.055          0.056          2.667        446.839          148.1          0.962            0.0          0.000
     14/11/1985              17          4.930           91.4          17.99           9.14           9.02           8.24           0.73           0.00           0.00           0.23           0.08           0.20           0.02           0.00           0.00           0.000          0.000          0.000          2.745          0.129          0.003        108.966          1.576          1.000          0.000        206.291          5.465          2.063          0.062          0.064          2.668        479.839          147.9          0.965            0.0          0.000
     14/11/1985              17          4.930           91.4          17.99           9.14           9.02           8.24           0.73           0.00           0.00           0.23           0.08           0.20           0.02           0.00           0.00           0.000          0.000          0.000          2.745          0.129          0.003        108.966          1.576          1.000          0.000        206.291          5.465          2.063          0.062          0.064          2.668        479.839          147.9          0.965            0.0          0.000
     15/11/1985              18          5.000          114.2          20.98          11.42           9.76          10.21           0.96           0.05           0.00           0.27           0.10           0.24           0.03           0.00           0.00           0.000          0.000          0.000          2.933          0.149          0.004        107.660          1.588          1.000          0.000        238.450          6.311          2.932          0.072          0.073          2.850        512.839          147.7          0.966            0.0          0.000
