ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = bmw210
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
18/12/1985,1,1.99900000,0.00000000,0.06287400,0.00000000,0.06287400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00125700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,39.34171900,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01204000,50.00000000,77.12278700,1.00000000,0.00000000,0.00000000
19/12/1985,2,2.00000000,0.00000000,0.06274800,0.00000000,0.06274800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00125500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,39.09588800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01256700,71.75091600,79.44403100,1.00000000,0.00000000,0.00000000
20/12/1985,3,2.53022100,0.00000000,0.06262300,0.00000000,0.06262300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00125200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,38.85329600,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03829800,94.44027500,81.45950300,1.00000000,0.00000000,0.00000000
21/12/1985,4,2.80224200,0.00000000,0.06249800,0.00000000,0.06249800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00125000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,38.61381500,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08923300,117.80389200,83.02272000,1.00000000,0.00000000,0.00000000
22/12/1985,5,3.00000000,1.26000000,0.18837300,0.12600000,0.06237300,0.06300000,0.06300000,0.00000000,0.00000000,0.00564500,0.00124700,0.00407000,0.00157500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00239400,0.00000000,39.63549800,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00119600,0.00119600,0.18171200,150.80389200,84.12350500,0.97673400,0.00000000,0.00000000
23/12/1985,6,3.28326600,1.56940600,0.24843400,0.15694000,0.09318800,0.09210600,0.06314000,0.00000000,0.00000000,0.01071900,0.00124500,0.00902700,0.00148500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.67182200,0.00728800,0.00013400,38.37733100,1.23864200,1.00000000,0.00000000,11.56746000,0.21280500,0.25000000,0.00363700,0.00370400,0.25042700,183.80389200,84.85878800,0.89581800,0.00000000,0.00000000
24/12/1985,7,3.52417200,2.58387800,0.45114200,0.25839000,0.19444900,0.19272700,0.06396700,0.00000000,0.00000000,0.01834300,0.00168400,0.01646500,0.00167200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.85480700,0.01298000,0.00013400,38.14023800,1.26844400,1.00000000,0.00000000,20.60365000,0.21280500,0.25055600,0.00646900,0.00653600,0.43796600,216.80389200,85.34570300,0.90522100,0.00000000,0.00000000
25/12/1985,8,3.77741400,4.82602100,0.89918200,0.48260000,0.41827500,0.41399800,0.06690900,0.00000000,0.00000000,0.02857600,0.00327600,0.02640300,0.00196600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.04011900,0.01948400,0.00013400,37.89893000,1.35509700,1.00000000,0.00000000,30.92711700,0.21280500,0.25383600,0.00969500,0.00976100,0.66568300,249.80389200,85.63554400,0.92818400,0.00000000,0.00000000
26/12/1985,9,4.00000000,7.69402400,1.47194600,0.76940000,0.70423800,0.69526100,0.07244700,0.00000000,0.00000000,0.04090000,0.00576100,0.03843600,0.00225700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.23492000,0.02719800,0.00013400,37.63982200,1.41316300,1.00000000,0.00000000,43.17197600,0.21280500,0.26551300,0.01350700,0.01357300,0.86558900,282.80389200,85.78196000,0.94046800,0.00000000,0.00000000
27/12/1985,10,4.12542800,12.12889900,2.35751300,1.21289000,1.14631700,1.12677100,0.08442400,0.00000000,0.00000000,0.05428800,0.00949500,0.05147200,0.00260900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41802500,0.03541800,0.00013400,57.64296900,1.45328900,1.00000000,0.00000000,56.21849600,0.21280500,0.28748900,0.01755300,0.01761900,2.09565000,315.80389200,85.81787900,0.94774000,0.00000000,0.00000000
28/12/1985,11,4.24323300,17.99262300,3.52557400,1.79926000,1.73039700,1.69005100,0.10512600,0.00000000,0.00000000,0.06944100,0.01449000,0.06609300,0.00304800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.61151700,0.04511000,0.00019800,52.56537600,1.46517100,1.00000000,0.00000000,71.60256500,0.31409300,0.33501600,0.02230200,0.02239900,2.09110100,348.80389200,85.76619000,0.94972200,0.00000000,0.00000000
29/12/1985,12,4.34949600,25.18739400,4.93979500,2.51874000,2.44641300,2.35578500,0.13759700,0.00000000,0.00000000,0.08688700,0.02095200,0.08209500,0.00375000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.80440900,0.05558300,0.00070000,51.63258900,1.47699100,1.00000000,0.00000000,88.22657900,1.11076900,0.41716500,0.02740900,0.02774900,2.20254100,381.80389200,85.58969900,0.95162100,0.00000000,0.00000000
30/12/1985,13,4.45270600,33.30851500,6.53631500,3.33085000,3.25363300,3.09965400,0.18302800,0.00000000,0.00000000,0.10604200,0.02854600,0.09939000,0.00487900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.97840500,0.06624000,0.00118700,50.79980300,1.50045200,1.00000000,0.00000000,105.14294500,1.88455500,0.54602000,0.03257800,0.03315200,2.28756700,414.80389200,85.33760100,0.95518600,0.00000000,0.00000000
31/12/1985,14,4.55746700,44.68013700,8.77782300,4.46801000,4.38428800,4.13488700,0.25864900,0.00000000,0.00000000,0.12815300,0.03888300,0.11880700,0.00681700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.14740100,0.07776800,0.00168200,50.03832200,1.52770500,1.00000000,0.00000000,123.44132100,2.66997000,0.72630300,0.03813800,0.03894600,2.41409500,447.80389200,85.02825900,0.95900500,0.00000000,0.00000000
01/01/1986,15,4.64992700,56.68235100,11.14441100,5.66824000,5.57574000,5.21709100,0.35158000,0.00000000,0.00000000,0.15095000,0.04961600,0.13887600,0.00887700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.31893700,0.09082100,0.00211900,49.28721000,1.52912400,1.00000000,0.00000000,144.15955400,3.36315700,1.02638400,0.04439500,0.04540600,2.61724900,480.80389200,84.70600900,0.95919500,0.00000000,0.00000000
