ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = bmw257
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sw_uptake(8),sw_uptake(9),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3_demand,n_supply_soil,RUE,TE,nfact_photo,temp_stress
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2),(),(),(),()
16/12/1985,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.17169600,0.23770700,0.25771800,0.26815700,0.25644800,0.23816400,0.19136800,0.18903400,0.19698600,21.51787800,14.06571000,6.84525700,14.49546200,14.65726900,14.63888600,6.25000400,6.07485900,6.22042300,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
17/12/1985,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.17470100,0.23930300,0.25402900,0.26565400,0.25667500,0.23833000,0.19173800,0.18906900,0.19697200,22.80093800,14.39818600,7.02583300,14.95080000,15.24949500,15.22214900,6.83837500,6.49875900,6.77874800,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
18/12/1985,1,1.99900000,0.00000000,0.06556900,0.00000000,0.06556900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00131100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,79.24171300,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.55612500,1.00000000,1.00000000,0.00000000,0.00000000,0.01196400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,50.00000000,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.17808300,0.23882200,0.25169400,0.26350700,0.25673500,0.23849500,0.19210800,0.18910500,0.19695900,24.05032500,14.62426700,7.21275800,15.37293700,15.78360200,15.75483300,7.35415500,6.87688700,7.28190500,0.00000000,0.00000000,0.00000000,0.08494700,1.00000000,1.00000000
19/12/1985,2,2.00000000,0.00000000,0.06543700,0.00000000,0.06543700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00130900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,78.99588400,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.25622900,1.00000000,1.00000000,0.00000000,0.00000000,0.01301900,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,72.83159500,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.18144200,0.23761300,0.24982800,0.26164500,0.25667300,0.23865200,0.19247900,0.18914300,0.19694500,25.20642300,14.77395800,7.37474400,15.74446000,16.24876000,16.22643700,7.80357500,7.21394700,7.72529300,0.00000000,0.00000000,0.00000000,0.08806100,1.00000000,1.00000000
20/12/1985,3,2.53022100,0.00000000,0.06530700,0.00000000,0.06530700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00130600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,78.75328800,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.61499300,1.00000000,1.00000000,0.00000000,0.00000000,0.04331200,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,98.03761100,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.18460800,0.23617200,0.24817900,0.26000500,0.25651900,0.23880000,0.19285000,0.18918100,0.19693200,26.25424000,14.86969900,7.50782500,16.06988700,16.65346700,16.64413300,8.19293000,7.51419400,8.11689700,0.00000000,0.00000000,0.00000000,0.24527800,1.00000000,1.00000000
21/12/1985,4,2.80224200,0.00000000,0.06517600,0.00000000,0.06517600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00130400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,78.51381100,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.24090300,1.00000000,1.00000000,0.00000000,0.00000000,0.11251000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,125.41914800,0.00000000,0.00000000,0.00000000,-6277438562204192777393328858411570645414899813978564907237376.00000000,0.18750900,0.23470000,0.24667000,0.25853700,0.25629500,0.23893600,0.19322300,0.18922000,0.19691900,27.13027000,14.89513000,7.59771300,16.31873300,16.97362300,16.98551600,8.52848100,7.78147900,8.44232100,0.00000000,0.00000000,0.00000000,0.71678100,1.00000000,1.00000000
22/12/1985,5,3.00000000,1.31400000,0.19644600,0.13140000,0.06504600,0.06570000,0.06570000,0.00000000,0.00000000,0.00588700,0.00130100,0.00424400,0.00164300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00249700,0.00000000,79.53549800,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,11.16845900,1.00000000,1.00000000,0.00124800,0.00124800,0.23012400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,158.41914800,0.00098600,0.00000000,0.00098600,0.50000000,0.20229600,0.23362100,0.24533700,0.25721200,0.25601800,0.23905900,0.19359500,0.18926100,0.19690600,27.79258300,14.87912900,7.64881100,16.48855600,17.20864500,17.24888600,8.81626800,8.01927800,8.70111900,0.00197100,0.00098600,0.00000000,3.05530000,0.97673400,1.00000000
23/12/1985,6,3.28326600,1.63665800,0.25903100,0.16367000,0.09718100,0.09600300,0.06584600,0.00000000,0.00000000,0.01116500,0.00129800,0.00943800,0.00154900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.67182200,0.00759300,0.00014400,78.27733200,1.24296800,1.00000000,0.00000000,11.55714800,0.21866600,0.25000000,11.89399300,1.00000000,1.00000000,0.00378900,0.00386100,0.34221300,0.00272500,0.00091700,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00364200,191.41914800,0.00527900,0.00045600,0.00482300,0.52256700,0.19434900,0.23225200,0.24407000,0.25600000,0.25570100,0.23916800,0.19396700,0.18930200,0.19689400,28.32022300,14.78299700,7.67091200,16.60030400,17.37889100,17.45151700,9.06203900,8.23072400,8.90607600,0.01010100,0.00527900,0.03226600,3.03215900,0.89723600,1.00000000
24/12/1985,7,3.52417200,2.69525600,0.47055600,0.26953000,0.20284700,0.20100100,0.06670900,0.00000000,0.00000000,0.01906700,0.00175500,0.01715100,0.00173700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.85480700,0.01353000,0.00014400,78.04009100,1.26764900,1.00000000,0.00000000,20.59333800,0.21866600,0.25055600,12.04526400,1.00000000,1.00000000,0.00674200,0.00681300,0.60958300,0.00590100,0.00504300,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.01094500,224.41914800,0.00836100,0.00118600,0.00717500,0.53816200,0.19627900,0.23099600,0.24288500,0.25488300,0.25535500,0.23926200,0.19433900,0.18934500,0.19688100,28.73741300,14.65109900,7.67482600,16.67307700,17.50341000,17.61039900,9.27119400,8.41863900,9.07097600,0.01553600,0.00836100,0.10586000,5.89613400,0.90498100,1.00000000
