ApsimVersion = 7.10 r4220
format = csv
precision = 8
Title = j2ki04
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,cover_green,cover_tot,sw_supply,RootDepth,NO3,nfact_photo,Yield,GrainYield
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(),(),(mm),(mm),(kg/ha),(),(kg/ha),()
06/04/1988,1,1.99900000,0.00000000,0.06207600,0.00000000,0.06207600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00124200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,96.50580000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00051200,50.00000000,30.70075600,1.00000000,0.00000000,0.00000000
07/04/1988,2,2.00000000,0.00000000,0.06195100,0.00000000,0.06195100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00123900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,96.09731500,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,50.00000000,30.53009800,1.00000000,0.00000000,0.00000000
08/04/1988,3,2.33386500,0.00000000,0.06182800,0.00000000,0.06182800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00123700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,109.05005300,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03544900,83.00000000,30.19780200,1.00000000,0.00000000,0.00000000
09/04/1988,4,2.67719800,0.00000000,0.06170400,0.00000000,0.06170400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00123400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,105.61299300,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.10124100,113.49743700,29.87452700,1.00000000,0.00000000,0.00000000
10/04/1988,5,3.00000000,1.24400000,0.18598000,0.12440000,0.06158000,0.06220000,0.06220000,0.00000000,0.00000000,0.00557300,0.00123200,0.00401800,0.00155500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00236400,0.00000000,104.56641800,1.70000000,1.00000000,0.00000000,3.80000000,0.00000000,0.00000000,0.00118100,0.00118100,0.19444100,146.49743700,29.59255200,0.97673400,0.00000000,0.00000000
11/04/1988,6,3.35047800,1.61131300,0.25420700,0.16113000,0.09818900,0.09365200,0.06236600,0.00000000,0.00000000,0.01224800,0.00122900,0.01010900,0.00143500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.74615400,0.00879300,0.00048000,104.29483600,1.14972000,1.00000000,0.00000000,14.13603100,0.77175700,0.25000000,0.00438700,0.00462600,0.35498000,179.49743700,29.27029800,0.86227100,0.00000000,0.00000000
12/04/1988,7,3.64194900,2.81565700,0.49487900,0.28157000,0.21842700,0.21287800,0.06357400,0.00000000,0.00000000,0.02225500,0.00177600,0.02001000,0.00154100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99307700,0.01694700,0.00048000,104.02198200,1.18075700,1.00000000,0.00000000,27.24561000,0.77175700,0.25066900,0.00843800,0.00867600,0.68003700,212.49743700,28.95549200,0.87498600,0.00000000,0.00000000
13/04/1988,8,3.97294900,5.16633000,0.96457700,0.51663000,0.45305700,0.44380100,0.06771900,0.00000000,0.00000000,0.03483000,0.00331300,0.03235300,0.00177300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.21728500,0.02564200,0.00048000,103.73867400,1.26173600,1.00000000,0.00000000,41.22460800,0.77175700,0.25552400,0.01273900,0.01297600,1.14329100,245.49743700,28.64522200,0.90317700,0.00000000,0.00000000
14/04/1988,9,4.00000000,8.82970900,1.69634700,0.88297000,0.81848900,0.80051900,0.07733900,0.00000000,0.00000000,0.05116700,0.00605400,0.04843200,0.00203100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.47190100,0.03704300,0.00048000,103.43899300,1.30746300,1.00000000,0.00000000,59.55444900,0.77175700,0.27218400,0.01835100,0.01858700,1.56269200,278.49743700,28.29056400,0.91631700,0.00000000,0.00000000
