SowDate,trial_code,exp_no,site,year,date,Stage,Rep,Landscape_pos,Type,cultivar,TOS,density_trt,Irrigation_trt,Fertiliser_Trt,density,AboveGround.NConc,AboveGround.wt,grain.total.wt,grain.wt,grain.protein,grain.oil,grain.number,stem.live,leaf.live,SoilWater.SW(1),SoilWater.SW(2),SoilWater.SW(3),SoilWater.SW(4),SoilWater.SW(5),SoilWater.SW(6),Nutrient.MineralN(1),Nutrient.MineralN(2),Nutrient.MineralN(3),Nutrient.MineralN(4),Nutrient.MineralN(5),Nutrient.MineralN,
(d/mm/yyyy),(),(),(),(),(d/mm/yyyy),(),(),(),(),(),(),(plants/m2),(),(kg/ha),(plants/m2),(%),(g/m2),(g/m2),(mg),(%),(%),(seeds/m2),(g/m2),(g/m2),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),
1/04/2014,CSTA14GANM2,1,Ganmain,2014,4/06/2014,5.5,1,,H,44Y87,1,15,nil,nil,,,,,,,,,,,,,,,,,,,,,,,
1/04/2014,CSTA14GANM2,1,Ganmain,2014,2/06/2014,5.5,1,,OP_TT,Gem,1,45,nil,nil,,,,,,,,,,,,,,,,,,,,,,,
1/04/2014,CSTA14GANM2,1,Ganmain,2014,26/05/2014,5.5,1,,H,Hyola575,1,15,nil,nil,,,,,,,,,,,,,,,,,,,,,,,
15/04/2014,CSTA14GANM2,1,Ganmain,2014,12/06/2014,5.5,1,,H,Hyola575,2,45,nil,nil,,,,,,,,,,,,,,,,,,,,,,,
15/04/2014,CSTA14GANM2,1,Ganmain,2014,9/06/2014,5.5,1,,H,Hyola575,2,15,nil,nil,,,,,,,,,,,,,,,,,,,,,,,
15/04/2014,CSTA14GANM2,1,Ganmain,2014,30/06/2014,5.5,1,,H,45Y88,2,45,nil,nil,,,,,,,,,,,,,,,,,,,,,,,
28/04/2014,CSTA14GANM2,1,Ganmain,2014,26/07/2014,5.5,1,,H,44Y87,3,45,nil,nil,,,,,,,,,,,,,,,,,,,,,,,
28/04/2014,CSTA14GANM2,1,Ganmain,2014,10/07/2014,5.5,1,,OP_TT,Gem,3,45,nil,nil,,,,,,,,,,,,,,,,,,,,,,,
28/04/2014,CSTA14GANM2,1,Ganmain,2014,13/07/2014,5.5,1,,H,Hyola575,3,45,nil,nil,,,,,,,,,,,,,,,,,,,,,,,
