ParamName,ParamUnit,Description,Wheat0,Wheat50,Wheat100,Wheat150,Wheat200,Wheat250,Wheat300,Wheat350,Wheat365
CropType,string,Type of crop (i.e. crop name) used for characterising organic matter residues composition,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize
TT_Temp_X,oC,Average temperature for thermal time calculation,(0  26  37),(0  26  37),(0  26  37),(0  26  37),(0  26  37),(0  26  37),(0  26  37),(0  26  37),(0  26  37)
TT_Acc_Y,oCd,Thermal time accumulation at average temperature,(0  26  0),(0  26  0),(0  26  0),(0  26  0),(0  26  0),(0  26  0),(0  26  0),(0  26  0),(0  26  0)
D_StartGrowth_00,DAWS,Earliest day after winter solstice when sowing/end-dorm is resumed every year,0,50,100,150,200,250,300,350,364
T_StartGrowth_00,oC,Temperature 14-day running av temp from StartGrowthDOY_00 when growth starts,0,0,0,0,0,0,0,0,0
Tt_Vegetative_01,oCd,Thermal-time accumulation from StartGrowth to FullCanopy,1000,1000,1000,1000,1000,1000,1000,1000,1000
DefoliateOrDevelop,string,Phase to rewind if defoliated at FullCanopy (Reproductive or Graze),Reproductive,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Pp_Reproductive_02,oCd,Photoperiod x-values for reproductive target thermal-time lengths,(8 16),(8 16),(8 16),(8 16),(8 16),(8 16),(8 16),(8 16),(8 16)
Tt_Reproductive_02,oCd,Thermal-time duration of reproductive/full-canopy phase at PP x-values (FullCanopy to StartSenescence),(250 250),(250 250),(250 250),(250 250),(250 250),(250 250),(250 250),(250 250),(250 250)
Tt_Senescent_03,oCd,Thermal-time accumulation from StartSenescence to Maturity,500,500,500,500,500,500,500,500,500
Tt_Mature_04,oCd,Thermal-time accumulation from Maturity to Dormancy,0,0,0,0,0,0,0,0,0
EndOrHarvest,string,If plant is harvested and pruned or dies completely at end of growth phase,EndCrop,EndCrop,EndCrop,EndCrop,EndCrop,EndCrop,EndCrop,EndCrop,EndCrop
Chill_Temp_X,oC,Temperatures when chilling-time accumulation occurs,(-2 -1 16 17),(-2 -1 16 17),(-2 -1 16 17),(-2 -1 16 17),(-2 -1 16 17),(-2 -1 16 17),(-2 -1 16 17),(-2 -1 16 17),(-2 -1 16 17)
Chill_Acc_Y,oCd,Chilling rate accumulation at a given cardinal temperature,(0 1 1 0),(0 1 1 0),(0 1 1 0),(0 1 1 0),(0 1 1 0),(0 1 1 0),(0 1 1 0),(0 1 1 0),(0 1 1 0)
AC_Dormant_05,oCd,Accumulated chill units (x-value),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0)
Tt_Dormant_05,oCd,Thermal-time duration of dormant phase at  accumulated chill unit (y-value),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0)
MaxCanopyBaseHeight,mm,Height of the base of the canopy of mature plant,0,0,0,0,0,0,0,0,0
MaxCanopyPrunedHeight,mm,Height of the top of the canopy of a mature plant after pruning or grazing,0,0,0,0,0,0,0,0,0
MaxCanopyHeight,mm,Maximum canopy height,1800,1800,1800,1800,1800,1800,1800,1800,1800
MaxCanopyPrunedWidth,mm,Width of the canopy of mature plants after pruning,0,0,0,0,0,0,0,0,0
MaxCanopyWidth,mm,Width of the canopy of mature plants before pruning,800,800,800,800,800,800,800,800,800
AgeToMaxDimension,Y,Years until plant reaches mature size,1,1,1,1,1,1,1,1,1
AgeAtStartSimulation,Y,How old is the plant at the start of the simulation,0,0,0,0,0,0,0,0,0
SeasonalDimensionPattern,0-1,Relative values for height and width at StartGrowth | FullCanopy | StartSenescence | Maturity,(0 1 1 0.5),(0 1 1 0.5),(0 1 1 0.5),(0 1 1 0.5),(0 1 1 0.5),(0 1 1 0.5),(0 1 1 0.5),(0 1 1 0.5),(0 1 1 0.5)
LAImax,m2/m2,Maximum achievable leaf are index (optimal management),7,7,7,7,7,7,7,7,7
ExtCoeff,fractional,Extinction coefficient for diffuse light across canopy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
RUEtotal,g DM/MJ global rad,Radiation use efficiency for total plant biomass (global solar radiation),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
RUETempThresholds,oC,Radiation Use Efficiency temperatures for lower_minimum | lower_optima | upper_optima | upper_minimum,(0 15 25 35),(0 15 25 35),(0 15 25 35),(0 15 25 35),(0 15 25 35),(0 15 25 35),(0 15 25 35),(0 15 25 35),(0 15 25 35)
PhotosynthesisType,C3 or C4,Select if a C3 or C4 crop to set sensitivity to atmospheric CO2,C3,C3,C3,C3,C3,C3,C3,C3,C3
LeafPartitionFrac,fractional,Proportion of total biomass partitioned to Leaf (Note leaf is all above ground biomass that is not removed as product or remaining in permenant trunk),0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
ProductPartitionFrac,fractional,Proportion of total biomass partitioned to Product,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
RootPartitionFrac,fractional,Proportion of total biomass partitioned to Root,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TrunkPartitionFrac,fractional,Proportion of total biomass partitioned to Trunk (note this is permenant biomass that is not removed),0,0,0,0,0,0,0,0,0
