SimulationName  Clock.Today  Structure.MainStemNodeNo
()  (yyyy-mm-dd)  ()
Lincoln1993Sowing19Oct1993CultivarMassey  1993-11-03  0.52
Lincoln1993Sowing19Oct1993CultivarMassey  1993-11-05  1.03
Lincoln1993Sowing19Oct1993CultivarMassey  1993-11-08  2.00
Lincoln1993Sowing19Oct1993CultivarMassey  1993-11-10  2.53
Lincoln1993Sowing19Oct1993CultivarMassey  1993-11-13  3.10
Lincoln1993Sowing19Oct1993CultivarMassey  1993-11-16  3.57
Lincoln1993Sowing19Oct1993CultivarMassey  1993-11-18  4.00
Lincoln1993Sowing19Oct1993CultivarMassey  1993-11-22  4.87
Lincoln1993Sowing19Oct1993CultivarMassey  1993-11-24  5.47
Lincoln1993Sowing19Oct1993CultivarMassey  1993-11-26  6.20
Lincoln1993Sowing19Oct1993CultivarMassey  1993-11-30  6.70
Lincoln1993Sowing19Oct1993CultivarMassey  1993-12-03  7.73
Lincoln1993Sowing19Oct1993CultivarMassey  1993-12-08  8.27
Lincoln1993Sowing19Oct1993CultivarMassey  1993-12-13  9.21
Lincoln1993Sowing19Oct1993CultivarMassey  1993-12-17  10.62
Lincoln1993Sowing19Oct1993CultivarMassey  1993-12-24  12.00
Lincoln1993Sowing19Oct1993CultivarMassey  1993-12-28  12.62
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-11-03  0.43
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-11-05  1.07
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-11-08  2.00
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-11-10  2.43
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-11-13  3.03
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-11-16  3.47
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-11-18  3.93
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-11-22  4.73
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-11-24  5.47
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-11-26  6.00
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-11-30  6.57
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-12-03  7.53
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-12-08  8.33
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-12-13  9.97
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-12-17  11.53
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-12-24  13.00
Lincoln1993Sowing19Oct1993CultivarTrounce  1993-12-28  15.14
Lincoln1993Sowing19Oct1993CultivarRovar  1993-11-03  0.00
Lincoln1993Sowing19Oct1993CultivarRovar  1993-11-05  0.87
Lincoln1993Sowing19Oct1993CultivarRovar  1993-11-08  2.20
Lincoln1993Sowing19Oct1993CultivarRovar  1993-11-10  2.57
Lincoln1993Sowing19Oct1993CultivarRovar  1993-11-13  3.10
Lincoln1993Sowing19Oct1993CultivarRovar  1993-11-16  3.87
Lincoln1993Sowing19Oct1993CultivarRovar  1993-11-18  4.00
Lincoln1993Sowing19Oct1993CultivarRovar  1993-11-22  4.70
Lincoln1993Sowing19Oct1993CultivarRovar  1993-11-24  5.40
Lincoln1993Sowing19Oct1993CultivarRovar  1993-11-26  5.87
