SimulationName OldName Clock.Today FodderBeet.Bulb.Live.Wt FodderBeet.Petiole.Live.Wt FodderBeet.Leaf.Live.Wt FodderBeet.Total.Wt FodderBeet.TotalDead.Wt FodderBeet.Leaf.LAI
() () () (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (m2/m2)
Lincoln2014CvRiv_Oct FRNLRivageSD2 2014-12-08 1.25 2.61 11.40 15.26 0.00 0.22
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-01-12 284.09 116.78 185.65 608.99 22.46 2.56
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-02-02 727.14 198.06 207.37 1196.45 63.88 3.13
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-02-23 1337.89 203.76 271.68 1897.77 84.45 3.07
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-03-16 1943.63 160.39 174.97 2430.63 151.64 3.25
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-07 1775.93 74.77 84.28 2181.77 246.79 4.45
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-29 1908.50 126.38 151.19 2400.45 214.38 2.41
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-05-18 2045.87 64.01 94.95 2472.97 268.14 1.30
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-06-15 2372.35 125.60 153.05 2956.66 305.66 2.15
Lincoln2014CvRiv_Oct FRNLRivageSD2 2014-12-08 0.42 0.84 3.58 4.83 0.00 0.07
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-01-12 192.17 65.76 137.58 405.09 9.58 1.99
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-02-02 552.76 119.85 188.54 884.68 23.54 2.83
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-02-23 1201.25 195.01 228.17 1718.00 93.57 2.85
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-03-16 1674.36 86.02 133.32 2022.01 128.30 2.11
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-07 2492.64 155.92 170.74 3047.19 227.89 2.61
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-29 1978.76 173.66 170.75 2567.86 244.70 2.36
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-05-18 1567.88 48.38 75.45 1848.03 156.32 1.02
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-06-15 2450.70 67.33 69.68 2821.25 233.53 1.04
Lincoln2014CvRiv_Oct FRNLRivageSD2 2014-12-08 0.62 0.95 4.18 5.75 0.00 0.07
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-01-12 268.50 109.34 174.54 563.49 11.10 2.82
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-02-02 864.77 172.15 264.77 1333.42 31.73 4.16
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-02-23 1819.99 178.28 212.88 2322.41 111.26 5.16
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-03-16 1826.35 117.33 147.00 2276.53 185.84 2.20
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-07 1738.03 109.36 114.05 2167.96 206.52 2.98
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-29 1657.42 89.37 96.74 1980.79 137.27 1.63
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-05-18 2005.39 80.57 109.53 2338.45 142.95 1.59
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-06-15 2298.00 39.16 81.87 2665.16 246.12 1.12
Lincoln2014CvRiv_Oct FRNLRivageSD2 2014-12-08 1.25 2.61 11.40 15.26 0.00 0.22
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-01-12 284.09 116.78 185.65 608.99 22.46 2.56
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-02-02 727.14 198.06 207.37 1196.45 63.88 3.13
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-02-23 1337.89 203.76 271.68 1897.77 84.45 3.07
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-03-16 1943.63 160.39 174.97 2430.63 151.64 3.25
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-07 1775.93 74.77 84.28 2181.77 246.79 4.45
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-04-29 1908.50 126.38 151.19 2400.45 214.38 2.41
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-05-18 2045.87 64.01 94.95 2472.97 268.14 1.30
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-06-15 2372.35 125.60 153.05 2956.66 305.66 2.15
