YearAH	PMPYear	Site	Sitecode	Metstation	Mestationcode	PMPSite	Caneno	Stage	BB50date	BB50DOY	BB50dayAH	BB50sdAH	FL50date	FL50DOY	FL50dayAH	FL50sdAH	VER50date	VER50DOY	VE50dayAH	VE50sdAH
()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()
2004	2005	Booker	BK	Brancott	BRA	91001	2c	23	*	*	*	*	16/12/2004	351	16.10848921	3.299486249	*	*	*	*
2004	2005	Booker	BK	Brancott	BRA	91001	4c	23	*	*	*	*	17/12/2004	352	16.66835954	3.559826331	*	*	*	*
2004	2005	Oyster	OYS	OYBstation	OYB	91002	2c	23	*	*	*	*	16/12/2004	351	16.38330879	4.301878583	*	*	*	*
2004	2005	Oyster	OYS	OYBstation	OYB	91002	4c	23	*	*	*	*	18/12/2004	353	17.58423074	4.360901174	*	*	*	*
2004	2005	Seaview	SV	SEAstation	SEA	91003	2c	23	*	*	*	*	19/12/2004	354	18.70705491	4.329345636	*	*	*	*
2004	2005	Seaview	SV	SEAstation	SEA	91003	4c	23	*	*	*	*	19/12/2004	354	18.91684157	4.548692325	*	*	*	*
2004	2005	Squires	SQ	Rapauracentral	RPC	91004	2c	23	*	*	*	*	11/12/2004	346	10.74378648	3.2278372	*	*	*	*
2004	2005	Squires	SQ	Rapauracentral	RPC	91004	4c	23	*	*	*	*	12/12/2004	347	12.42368202	3.714352598	*	*	*	*
2004	2005	Villa	VM	Blenheimstation	MRL	91005	2c	23	*	*	*	*	14/12/2004	349	13.78382397	2.953985741	*	*	*	*
2004	2005	Villa	VM	Blenheimstation	MRL	91005	4c	23	*	*	*	*	15/12/2004	350	15.1907924	3.435903154	*	*	*	*
2005	2006	Booker	BK	Brancott	BRA	91001	2c	23	29-Sep-05	272	29.07203949	3.86093656	5/12/2005	339	4.964385874	1.476308931	31-Jan-06	61	-0.107765661	5.845697841
2005	2006	Booker	BK	Brancott	BRA	91001	4c	23	1-Oct-05	274	30.92407991	7.396199539	6/12/2005	340	5.938494627	0.913791581	2-Feb-06	63	1.552679259	4.553881279
2005	2006	Oyster	OYS	OYBstation	OYB	91002	2c	23	27-Sep-05	270	27.20068411	3.442737425	4/12/2005	338	4.282979464	1.649575918	2-Feb-06	63	2.164685741	4.309263561
