YearAH PMPYear Site Sitecode Metstation Metstationcode PMPSite Caneno BBStage BB50date BB50DOY BB50dayAH BB50sdAH FLStage FL50date FL50DOY FL50dayAH FL50sdAH VEStage VER50date VER50DOY VE50dayAH VE50sdAH
() () () () () () () () () () () () () () () () () () () () () () ()
2004.000 2005 Booker BK Brancott BRA 91001 2c 7 12/12/2004 * * * 23 16/12/2004 351 16.10848921 3.299486249 35 20/07/2005 * * *
2004.000 2005 Oyster OYS OYBstation OYB 91002 2c 7 * * * * 23 16/12/2004 351 16.38330879 4.301878583 35 * * * *
2004.000 2005 Seaview SV SEAstation SEA 91003 2c 7 * * * * 23 19/12/2004 354 18.70705491 4.329345636 35 * * * *
2004.000 2005 Squires SQ Rapauracentral RPC 91004 2c 7 * * * * 23 11/12/2004 346 10.74378648 3.2278372 35 * * * *
2004.000 2005 Villa VM Blenheimstation MRL 91005 2c 7 * * * * 23 14/12/2004 349 13.78382397 2.953985741 35 * * * *
2005.000 2006 Booker BK Brancott BRA 91001 2c 7 29/09/2005 272 29.07203949 3.86093656 23 5/12/2005 339 4.964385874 1.476308931 35 31/01/2006 61 -0.107765661 5.845697841
2005.000 2006 Oyster OYS OYBstation OYB 91002 2c 7 27/09/2005 270 27.20068411 3.442737425 23 4/12/2005 338 4.282979464 1.649575918 35 2/02/2006 63 2.164685741 4.309263561
2005.000 2006 Seaview SV SEAstation SEA 91003 2c 7 23/09/2005 266 23.03292721 4.719771274 23 7/12/2005 341 7.254188787 1.235907525 35 8/02/2006 69 8.308837605 4.20588449
2005.000 2006 Squires SQ Rapauracentral RPC 91004 2c 7 30/09/2005 273 30.02896073 6.590072526 23 4/12/2005 338 3.75061674 2.094575687 35 4/02/2006 65 3.50218967 3.30753873
2005.000 2006 Villa VM Blenheimstation MRL 91005 2c 7 2/10/2005 275 32.21078307 3.245035366 23 5/12/2005 339 4.937084638 1.80146327 35 7/02/2006 68 6.697365057 4.280124928
2006.000 2007 Booker BK Brancott BRA 91001 2c 7 8/10/2006 281 37.53570096 4.643934051 23 13/12/2006 347 12.96282116 1.763228477 35 17/02/2007 78 17.36376595 3.222951144
2006.000 2007 Oyster OYS OYBstation OYB 91002 2c 7 5/10/2006 278 35.47233386 6.127335559 23 11/12/2006 345 11.13278068 5.211533296 35 18/02/2007 79 18.02969969 3.595983164
2006.000 2007 Seaview SV SEAstation SEA 91003 2c 7 29/09/2006 272 29.2410639 7.508426396 23 10/12/2006 344 10.21142164 5.457005 35 17/02/2007 78 17.13504908 2.75136129
2006.000 2007 Squires SQ Rapauracentral RPC 91004 2c 7 30/09/2006 273 29.70277829 3.328847937 23 3/12/2006 337 3.391575187 4.940493324 35 14/02/2007 75 13.83807292 5.452991809
2006.000 2007 Villa VM Blenheimstation MRL 91005 2c 7 3/10/2006 276 32.68144495 3.265647939 23 7/12/2006 341 7.472457849 5.615382468 35 13/02/2007 74 13.4665499 6.202272941
2007.000 2008 Booker BK Brancott BRA 91001 2c 7 6/10/2007 279 35.71116409 5.339015905 23 10/12/2007 344 10.11411106 2.880180858 35 11/02/2008 72 11.05647866 5.068838195
2007.000 2008 Oyster OYS OYBstation OYB 91002 2c 7 6/10/2007 279 35.51943367 4.157687189 23 9/12/2007 343 9.355332668 2.904098479 35 13/02/2008 74 13.47699105 4.82055428
2007.000 2008 Seaview SV SEAstation SEA 91003 2c 7 1/10/2007 274 30.86400491 4.133215461 23 13/12/2007 347 12.55895908 2.083601978 35 11/02/2008 72 11.01416481 5.358677719
2007.000 2008 Squires SQ Rapauracentral RPC 91004 2c 7 6/10/2007 279 36.42545976 3.599132688 23 9/12/2007 343 9.324488257 2.790173397 35 13/02/2008 74 12.60740939 3.672093946
2007.000 2008 Villa VM Blenheimstation MRL 91005 2c 7 8/10/2007 281 38.33046989 4.206885678 23 9/12/2007 343 9.113457731 2.323954319 35 13/02/2008 74 12.50022379 3.634436557
2008.000 2009 Booker BK Brancott BRA 91001 2c 7 4/10/2008 278 33.73063405 4.224566654 23 12/12/2008 347 11.87069758 3.464291149 35 19/02/2009 80 19.21489978 6.376472498
2008.000 2009 Oyster OYS OYBstation OYB 91002 2c 7 4/10/2008 278 33.73704859 4.050671484 23 9/12/2008 344 8.954385473 3.75270256 35 14/02/2009 75 13.87714127 7.350476592
2008.000 2009 Seaview SV SEAstation SEA 91003 2c 7 2/10/2008 276 32.04793937 3.995849519 23 12/12/2008 347 12.35318563 3.837217017 35 22/02/2009 83 21.82766844 7.281806743
2008.000 2009 Squires SQ Rapauracentral RPC 91004 2c 7 3/10/2008 277 32.94031479 2.94448799 23 7/12/2008 342 6.908132816 3.74313533 35 18/02/2009 79 18.23959435 9.304558355
2008.000 2009 Villa VM Blenheimstation MRL 91005 2c 7 7/10/2008 281 36.87608288 4.341803087 23 11/12/2008 346 11.22111871 4.746746813 35 24/02/2009 85 24.29191772 9.39401924
2009.000 2010 Booker BK Brancott BRA 91001 2c 7 9/10/2009 282 38.54836019 4.967800149 23 21/12/2009 355 20.65795127 3.704401575 35 21/02/2010 82 20.83072485 6.434302388
2009.000 2010 Oyster OYS OYBstation OYB 91002 2c 7 8/10/2009 281 37.55169049 4.386654461 23 18/12/2009 352 17.69949899 3.801426371 35 19/02/2010 80 18.52741883 8.991637828
2009.000 2010 Seaview SV SEAstation SEA 91003 2c 7 30/09/2009 273 29.78947438 7.276243304 23 24/12/2009 358 23.71295266 2.766530501 35 26/02/2010 87 26.22789268 4.140447885
2009.000 2010 Squires SQ Rapauracentral RPC 91004 2c 7 3/10/2009 276 32.51395609 7.304352592 23 15/12/2009 349 14.91878335 3.530409155 35 15/02/2010 76 14.7575943 6.303471887
2009.000 2010 Villa VM Blenheimstation MRL 91005 2c 7 9/10/2009 282 39.48338587 4.616898993 23 18/12/2009 352 17.99693466 3.572846693 35 24/02/2010 85 24.1821159 6.754119631
2010.000 2011 Booker BK Brancott BRA 91001 2c 7 12/10/2010 285 42.27856929 3.975748819 23 11/12/2010 345 10.98146722 3.294832504 35 13/02/2011 74 13.40250337 4.52257857
2010.000 2011 Oyster OYS OYBstation OYB 91002 2c 7 13/10/2010 286 43.04558444 3.135413154 23 11/12/2010 345 10.56784141 3.434194299 35 11/02/2011 72 10.78370678 4.675098481
2010.000 2011 Seaview SV SEAstation SEA 91003 2c 7 6/10/2010 279 35.78211929 5.289358492 23 17/12/2010 351 16.95862896 3.101837878 35 19/02/2011 80 18.55892268 6.3073478
2010.000 2011 Squires SQ Rapauracentral RPC 91004 2c 7 8/10/2010 281 37.50001761 5.337842648 23 7/12/2010 341 6.779043174 4.270610024 35 10/02/2011 71 9.850613192 5.720698257
2010.000 2011 Villa VM Blenheimstation MRL 91005 2c 7 14/10/2010 287 43.64468683 3.221512825 23 10/12/2010 344 10.29005614 2.764775956 35 12/02/2011 73 11.91382086 4.503179468
2011.000 2012 Booker BK Brancott BRA 91001 2c 7 17/10/2011 290 47.40750861 4.93607373 23 23/12/2011 357 22.95131304 3.227219589 35 * * * *
2011.000 2012 Oyster OYS OYBstation OYB 91002 2c 7 15/10/2011 288 45.4543098 3.382202777 23 20/12/2011 354 19.76947128 4.31026615 35 * * * *
2011.000 2012 Seaview SV SEAstation SEA 91003 2c 7 16/10/2011 289 45.7508577 6.386384281 23 26/12/2011 360 26.23245484 2.712455248 35 * * * *
2011.000 2012 Squires SQ Rapauracentral RPC 91004 2c 7 16/10/2011 289 45.61345277 5.008611347 23 17/12/2011 351 16.58445645 3.880643827 35 * * * *
2011.000 2012 Villa VM Blenheimstation MRL 91005 2c 7 22/10/2011 295 51.54305758 2.851485933 23 22/12/2011 356 21.54549996 3.567117425 35 * * * *
