location    soil     cultivar  sow_day flowering_day
horsham     dooen    digger    123    246
horsham     dooen    digger    154    267
horsham     dooen    digger    165    278
horsham     dooen    digger    186    279
horsham     dooen    digger    123    248
horsham     dooen    digger    154    269
horsham     dooen    northfield    123    257
horsham     dooen    northfield    154    269
horsham     dooen    northfield    165    278
horsham     dooen    northfield    186    279
horsham     dooen    northfield    123    258
horsham     dooen    northfield    154    270
horsham     dooen    nugett    123    250
horsham     dooen    nugett    154    267
horsham     dooen    nugett    165    278
horsham     dooen    nugett    186    279
horsham     dooen    nugett    123    251
horsham     dooen    nugett    154    269
beulah    beulah130    digger    130    269
beulah    beulah168    digger    168    270
beulah    beulah193    digger    193    278
beulah    beulah130    northfield    130    271
beulah    beulah168    northfield    168    274
beulah    beulah193    northfield    193    283
beulah    beulah130    nugett    130    269
beulah    beulah168    nugett    168    272
beulah    beulah193    nugett    193    281
birchip    birchip    digger    130    268
birchip    birchip    digger    168    270
birchip    birchip    digger    193    275
birchip    birchip    northfield    130    270
birchip    birchip    northfield    168    271
birchip    birchip    northfield    193    276
birchip    birchip    nugett    130    269
birchip    birchip    nugett    168    270
birchip    birchip    nugett    193    277
