[weather.met.weather]
latitude = -37.65  (DECIMAL DEGREES)
longitude = 142.05  (DECIMAL DEGREES)
tav = 13.40 (oC) ! Annual average ambient temperature. Based on 1 Jan 1959 to 2023.
amp = 11.74 (oC) ! Annual amplitude in mean monthly temperature. Based on 1 Jan 1959 to 2023.
! Evap is from synthetic pan
year  day radn  maxt   mint  rain  vp    evap   code
()   () (MJ/m^2) (oC)  (oC)  (mm)  (hPa) (mm)     ()
1959   1   20.5  20.4  11.1   0.0  11.2    5.2 999999
1959   2   25.7  21.3  10.1   0.0  10.8    6.1 999999
1959   3   31.6  31.2  11.4   0.0  14.4    8.4 999999
1959   4   19.3  34.0  14.3   0.0  12.5    7.8 999999
1959   5   22.1  33.3  20.3   0.0  10.1    8.5 999999
1959   6   25.6  20.2  12.5   0.9  12.3    5.8 999999
1959   7   20.0  22.4   5.7   0.0  10.5    5.4 999999
1959   8   27.0  20.7  11.9   0.1  10.6    6.3 999999
1959   9   30.2  25.6   8.5   0.0  10.0    7.5 999999
1959  10   30.0  34.1  13.1   0.0  15.0    8.9 999999
1959  11   26.6  29.8  13.1   0.0  16.9    7.1 999999
1959  12   31.7  31.9  12.6   0.0  12.9    8.8 999999
1959  13   28.8  29.5  12.6   0.0  13.1    7.8 999999
1959  14   20.2  32.1  13.9   0.0  10.4    7.6 999999
1959  15   29.2  28.5  14.8   0.2  15.9    7.4 999999
1959  16   31.3  36.6  10.8   0.0  13.7   10.0 999999
1959  17   29.7  43.0  17.1   0.0  11.4   12.6 999999
1959  18   27.9  40.4  24.5   0.4  14.0   11.4 999999
1959  19   28.9  42.6  18.9   0.0  12.3   12.3 999999
1959  20   27.8  25.4  18.3   0.0  15.6    6.7 999999
1959  21   30.5  22.3   9.5   0.0   9.2    7.1 999999
1959  22   29.7  29.6  12.3   0.0  15.6    7.6 999999
1959  23   28.5  37.5  16.9   0.0  20.7    9.2 999999
1959  24   23.8  37.0  21.5   0.0  19.3    8.7 999999
1959  25    8.4  29.3  19.8  52.2  22.8    3.9 999999
1959  26   26.3  19.3  12.0   4.1  10.4    6.0 999999
1959  27   25.5  20.3   7.9  23.3  10.5    5.9 999999
1959  28   20.9  21.7   7.3   0.0  11.2    5.3 999999
1959  29   24.9  22.2  12.7   0.3  14.8    5.7 999999
1959  30   29.9  28.7   8.3   0.0  12.6    7.7 999999
1959  31   29.4  33.8  11.7   0.0  14.0    8.8 999999
1959  32   29.6  38.5  14.0   0.0  11.0   10.8 999999
1959  33   23.1  37.9  20.9   0.0  12.2    9.9 999999
1959  34   12.8  22.0  15.6   0.0  15.8    4.0 999999
1959  35   29.4  25.1  10.3   0.1  12.3    6.9 999999
1959  36   20.0  29.9  11.7   0.0  13.7    6.6 999999
1959  37    9.7  21.5  15.8  20.1  18.9    3.2 999999
1959  38   13.9  21.9  13.2   5.2  15.7    4.1 999999
1959  39   11.2  18.9  11.7   0.0  12.9    3.6 999999
1959  40   22.5  19.0   6.5   0.0   8.0    5.5 999999
1959  41   25.5  23.3  11.5   0.0  10.7    6.3 999999
1959  42   22.3  28.2  11.2   0.0  13.8    6.5 999999
1959  43   21.1  33.3  14.3   0.0  12.3    7.9 999999
1959  44   14.8  25.2  16.9   3.0  17.5    4.7 999999
1959  45   15.7  22.8  13.8  13.1  15.9    4.4 999999
1959  46   18.7  17.8  11.3   2.4  11.6    4.6 999999
1959  47   21.4  20.2   9.2   6.1  14.0    4.8 999999
1959  48   26.8  21.2   9.3   0.0  10.6    6.1 999999
1959  49   24.1  19.7   7.2   0.0  10.5    5.5 999999
1959  50    9.1  21.0  10.7   0.0  14.4    3.4 999999
1959  51   10.1  21.1  11.6   0.0  13.8    3.7 999999
1959  52   24.0  23.2  13.1   0.0  11.3    6.1 999999
1959  53   25.9  29.0   9.6   0.0  13.9    7.0 999999
1959  54   23.8  26.0  11.5   0.0  16.8    5.8 999999
1959  55   22.2  23.7  12.0   0.0  14.0    5.6 999999
1959  56   25.5  25.1  12.1   0.0  13.2    6.3 999999
1959  57   25.9  27.5   9.3   0.0  13.6    6.7 999999
1959  58   11.5  21.3  12.1   0.0  14.7    3.8 999999
1959  59   23.9  20.0  10.3   0.0  10.5    5.6 999999
1959  60   25.3  27.9  10.8   0.0  15.0    5.9 999999
1959  61   12.2  21.2  12.3   0.0  13.2    3.5 999999
1959  62   19.7  23.5  10.1   0.0  10.6    5.0 999999
1959  63    8.0  20.8  14.8  15.0  16.5    2.7 999999
1959  64   14.3  22.6  14.3   0.4  17.7    3.4 999999
1959  65    8.5  20.1  13.2   0.3  15.7    2.7 999999
1959  66    6.6  16.9  12.5   0.5  15.9    2.0 999999
1959  67   14.7  20.0   9.2  10.4  13.1    3.5 999999
1959  68   16.1  17.1   8.4   2.6  10.1    3.7 999999
1959  69    7.3  17.0   9.8   6.3  11.2    2.6 999999
1959  70   21.0  19.8  10.3   0.4  11.8    4.4 999999
1959  71   23.7  26.9   6.5   0.1  11.5    5.9 999999
1959  72   23.2  27.2  12.9   0.0  11.4    6.1 999999
1959  73   18.7  28.0  11.1   0.0  12.6    5.6 999999
1959  74   17.8  21.3  12.7   0.0  14.4    4.0 999999
1959  75    9.3  16.9  10.7   0.0   9.9    3.0 999999
1959  76    8.3  17.5  10.4   0.6  12.7    2.6 999999
1959  77   20.4  23.5  10.9   0.0  12.8    4.8 999999
1959  78   19.6  24.6   9.8   0.0  14.0    4.7 999999
