ApsimVersion = 7.10 r0
precision = 8
Title = Sorghum_LE19_T6
           Date            Das    day_of_year          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n         GreenN     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize             HI         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()           TPLA           SPLA   dlt_dm_green      sw_supply       radn_int   DeltaGreenWt       DeltaLAI DeltaGreenN(1) DeltaGreenN(2) DeltaGreenN(3) DeltaGreenN(4) DeltaGreenN(5) DeltaLeafGreenN      DeltaSLAI        DeltaTT     SenescedWt      SenescedN  RootSenescedN RootSenescedWt LeafSenescedWt  LeafSenescedN         RLV(1)         RLV(2)         RLV(3)         RLV(4)         RLV(5)         RLV(6)         RLV(7)      RootDepth RootProportion(1) RootProportion(2) RootProportion(3) RootProportion(4) RootProportion(5) RootProportion(6) RootProportion(7) sum(sw_uptake) n_total_uptake  n_supply_soil   n_cum_uptake      sw_demand  sw_deficit(1)  sw_deficit(2)  sw_deficit(3)  sw_deficit(4)  sw_deficit(5)  sw_deficit(6)  sw_deficit(7)     root_depth         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)   sw_uptake(1)   sw_uptake(2)   sw_uptake(3)   sw_uptake(4)   sw_uptake(5)   sw_uptake(6)   sw_uptake(7)     n_sd_ratio     no3_demand            esw    swdef_pheno    swdef_photo    swdef_expan    nfact_pheno    nfact_expan      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7) n_diffusion_uptake n_massflow_uptake    cover_green      cover_tot      DeltaTTFM          st(1)          st(2)          st(3)          st(4)          st(5)          st(6)          st(7) GrainTempFactor
   (dd/mm/yyyy)         (days)             ()             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)             ()       (leaves)        (m2/m2)        (m2/m2)           (mm)        (kg/ha)      (g(N)/m2)             ()        (mm/mm)           (m2)           (m2)        (g/m^2)           (mm)             ()        (g/m^2)        (m2/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (m2/m2)          (oCd)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)             ()        (g/m^2)           (mm)             ()             ()             ()             ()             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (g/m^2)           (g/m^2)             ()             ()          (oCd)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)           (oC)              ()
     09/11/1998              0            313     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   102.82206700    50.46695300     0.00000000     1.00000000     2.62899800     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    18.28977200    17.88035600     5.91838800     2.54199500     1.56657400     1.84690200     2.42296600     0.41819200     0.45015500     0.41426400     0.31538800     0.30709900     0.35001200     0.37388900     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   102.82206700     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    83.63835100    90.03093000    82.85277600    94.61629500    92.12977600   105.00363200   112.16661100         0.00000000        0.00000000     0.00000000     0.00000000     0.00000000    24.07535200    23.10863100    22.28381200    21.28435500    20.53213100    19.98627300    19.60904500      1.00000000
     10/11/1998              0            314     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    99.52404800    50.81641800     0.00000000     1.00000000     2.61305200     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    18.48726100    17.30718400     6.46196100     2.55434300     1.62653600     1.90244900     2.47667900     0.40459300     0.43467500     0.42685300     0.31593200     0.30719800     0.35002300     0.37377800     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    99.52404800     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    80.91854100    86.93493700    85.37056000    94.77953300    92.15953100   105.00698900   112.13349900         0.00000000        0.00000000     0.00000000     0.00000000     0.00000000    24.08487500    23.10160100    22.26463700    21.25407800    20.49764300    19.95267100    19.57978200      1.00000000
     11/11/1998              1            315     1.99900000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    96.31530000   106.15306100     0.00000000     1.00000000     2.59757500     0.00000000     0.00000000     0.00000000     0.00350700     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000    10.02000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    30.00000000        0.01558800        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     3.25245700     0.44850900     6.28374500    37.05030800    27.81073000    17.98992200     1.89933000    30.00000000    73.82010700    17.05831700     6.56138900     2.56735600     1.67613700     1.94829400     2.52146400     0.39373800     0.42775700     0.42858100     0.31649900     0.30729800     0.35003400     0.37366900    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000    96.31530000     1.00000000     1.00000000     1.00000000     0.00000000     1.00000000    78.74754300    85.55149100    85.71625500    94.94969200    92.18927000   105.01007800   112.10067000         0.00000000        0.00000000     0.00000000     0.00000000    15.32000000    24.68003500    23.61883000    22.71487400    21.62169300    20.80062900    20.20547100    19.79371500      1.00000000
     12/11/1998              2            316     2.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    94.71029700   106.45084400     0.00000000     1.00000000     2.59010200     0.00000000     0.00000000     0.00000000     0.00337400     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000    10.47000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    57.00000000        0.05627400        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     3.96505000     1.16816700     6.45649000    36.88485700    27.78100600    17.98709900     1.93188500    57.00000000    74.13861800    16.93131100     6.54407100     2.58001900     1.71508600     1.98440400     2.55733200     0.39017500     0.42415900     0.42771800     0.31705000     0.30739700     0.35004300     0.37356000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000    94.71029700     1.00000000     1.00000000     1.00000000     0.00000000     1.00000000    78.03495000    84.83183300    85.54351000    95.11514300    92.21899400   105.01290100   112.06811500         0.00000000        0.00000000     0.00000000     0.00000000    15.77000000    24.48841100    23.44033800    22.54895600    21.47386000    20.67007300    20.09135100    19.69505100      1.00000000
     13/11/1998              3            317     2.59604600     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    93.44211600   106.69239000     0.00000000     1.00000000     2.58429500     0.00000000     0.00000000     0.00000000     0.02252600     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000      0.00000000     0.00000000     9.21000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.35087700     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    84.00000000        0.12221400        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     4.44346600     1.75752300     6.65689100    36.72457900    27.75129700    17.98453500     1.96416500    84.00000000    74.44152100    16.82042100     6.49523400     2.59227500     1.74505900     2.01229700     2.58558400     0.38778300     0.42121200     0.42671600     0.31758500     0.30749600     0.35005200     0.37345300    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000    93.44211600     1.00000000     1.00000000     1.00000000     0.00000000     1.00000000    77.55653400    84.24247700    85.34310900    95.27542100    92.24870300   105.01546500   112.03583500         0.00000000        0.00000000     0.00000000     0.00000000    14.51000000    23.94218300    22.94738000    22.10396200    21.09229900    20.34327900    19.81199500    19.45683100      1.00000000
     14/11/1998              4            318     3.00000000    20.00000000     2.99800000     2.00000000     0.99800000     1.00000000     1.00000000     0.00000000     0.00000000     0.03550000     0.05546000     0.01996000     0.00300000     0.03250000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.00000000     0.00200000     0.00000000    99.10253100   106.70897700     1.50000000     1.00000000     2.61320400     2.00000000     0.00000000     0.00000000     0.08353500     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.02250000     0.00000000     0.00000000      0.00000000     0.00000000    13.61500000     0.00200000     0.00004000     0.00004000     0.00200000     0.00000000     0.00000000     0.23809500     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   111.00000000        0.21340600        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.00000000     0.02250000     0.02250000     0.02250000     0.00000000     1.65719600    -0.13265200     5.67291300    36.54256400    27.72160300    17.98222400     1.99617800   111.00000000    71.32461500    19.64947700     6.71522900     2.60650800     1.76945500     2.03488100     2.60881500     0.40171400     0.43066300     0.43163500     0.31819100     0.30759500     0.35005900     0.37334600    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.50000000     0.04500000    99.10253100     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    80.34280400    86.13265200    86.32708700    95.45743600    92.27839700   105.01777600   112.00382200         0.02250000        0.00000000     0.00080000     0.00080000    17.80000000    24.24897800    23.26062600    22.41412000    21.38359800    20.60342600    20.03353900    19.63643300      1.00000000
     15/11/1998              5            319     3.13517100    20.35434300     3.06687300     2.03543000     1.03143800     1.03480800     1.00062700     0.00000000     0.00000000     0.04859200     0.06851200     0.01992000     0.00838200     0.04021000     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.33207300     0.00721000     0.00000000    95.94960000   106.83991200     1.16244700     1.00000000     2.59803200     7.21041700     0.00000000     0.07086900     0.17231500     0.02220700     0.03543400     0.00521000     0.00000000     0.00538200     0.00771000     0.00000000     0.00000000      0.00538200     0.00000000    13.23254300     0.00399600     0.00008000     0.00008000     0.00399600     0.00000000     0.00000000     0.18018000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   138.00000000        0.32985200        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.00691200     0.01309200     0.01309200     0.03559200     0.00691200     3.81410200     0.71540100     5.81397200    36.36487600    27.69192500    17.98015600     2.02792400   138.00000000    71.60504900    19.46033100     6.68367400     2.62034700     1.78936000     2.05314700     2.62799900     0.39089500     0.42642300     0.43093000     0.31878400     0.30769400     0.35006600     0.37324000     0.00691200    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.51241000     0.02554900    95.94960000     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    78.17898600    85.28459900    86.18602800    95.63512400    92.30807500   105.01984400   111.97207600         0.01245800        0.00063400     0.00288000     0.00288000    17.80000000    25.12104400    24.02693400    23.08817900    21.94152100    21.06789800    20.42313400    19.96608900      1.00000000
     16/11/1998              6            320     3.26058000    21.59691200     3.31332300     2.15969000     1.15363200     1.15521900     1.00447200     0.00000000     0.00000000     0.05813800     0.07801900     0.01988000     0.01419100     0.04394700     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.65481800     0.01251800     0.00000000    94.31530000   107.01512100     1.13361600     1.00000000     2.59043100    12.51842300     0.00000000     0.24851400     0.31764400     0.07931600     0.12425700     0.00530800     0.00000000     0.00580900     0.00373700     0.00000000     0.00000000      0.00580900     0.00000000    12.54093400     0.00605900     0.00012000     0.00012000     0.00605900     0.00000000     0.00000000     0.14492800     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   165.00000000        0.47155100        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.02711200     0.00954700     0.00954700     0.04513800     0.02711200     4.55452700     1.35256200     6.05047600    36.19361100    27.66227000    17.97833300     2.05941000   165.00000000    71.91484100    19.31432200     6.63701500     2.63361800     1.80481000     2.06724200     2.64326200     0.38709200     0.42323700     0.42974800     0.31935500     0.30779200     0.35007200     0.37313500     0.02711200    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.57605900     0.01657200    94.31530000     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    77.41835800    84.64743800    85.94952400    95.80638900    92.33773000   105.02166700   111.94059000         0.00702600        0.00252100     0.00499500     0.00499500    17.80000000    25.48564700    24.34641500    23.36800400    22.17105500    21.25671600    20.57923500    20.09602200      1.00000000
     17/11/1998              7            321     3.37548000    23.41438600     3.67451100     2.34144000     1.33307200     1.32842800     1.01301000     0.00000000     0.00000000     0.06618900     0.08603000     0.01984000     0.02101400     0.04517500     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     1.96069500     0.01875500     0.00000000    93.00772900   107.23092700     1.12046100     1.00000000     2.58444300    18.75458400     0.00000000     0.36349500     0.52703000     0.11648000     0.18174700     0.00623600     0.00000000     0.00682300     0.00122800     0.00000000     0.00000000      0.00682300     0.00000000    11.49000000     0.00836600     0.00016000     0.00016000     0.00836600     0.00000000     0.00000000     0.12121200     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   192.00000000        0.63850300        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.03654300     0.00805100     0.00805100     0.05318900     0.03654300     5.06588000     1.88953400     6.30029300    36.02884700    27.63262900    17.97674600     2.09063700   192.00000000    72.25351700    19.19031500     6.59064100     2.64632900     1.81680700     2.07807900     2.65522900     0.38448800     0.42055200     0.42849900     0.31990400     0.30789100     0.35007800     0.37303100     0.03654300    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.63563500     0.01266600    93.00772900     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    76.89757500    84.11046600    85.69970700    95.97115300    92.36737100   105.02325400   111.90936300         0.00461500        0.00343600     0.00747400     0.00747400    16.79000000    26.36878000    25.13103500    24.06487800    22.75428600    21.74504900    20.98853300    20.43960200      1.00000000
     18/11/1998              8            322     3.47598000    25.58940100     4.10684800     2.55894000     1.54790800     1.53185300     1.02708700     0.00000000     0.00000000     0.07371500     0.09351600     0.01980100     0.02830400     0.04541100     0.00000000     0.00000000      0.00000000     0.00000000     0.00000000     0.00000000     2.24093800     0.02566500     0.00000000    92.00804100   107.48104900     1.10283400     1.00000000     2.57932400    25.66518000     0.00000000     0.43500300     0.81029800     0.13968500     0.21750200     0.00691100     0.00000000     0.00729100     0.00023600     0.00000000     0.00000000      0.00729100     0.00000000    10.05000000     0.01103200     0.00019900     0.00019900     0.01103200     0.00000000     0.00000000     0.10416700     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000   219.00000000        0.77934300        0.02424500        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000     0.03670500     0.00752600     0.00752600     0.06071500     0.03670500     5.47580000     2.35450700     6.55449700    35.87795300    27.59549700    17.97538000     2.12161300   219.00000000    72.61430400    19.08441200     6.54558800     2.66058200     1.82587700     2.08600300     2.66428200     0.38243700     0.41822700     0.42722800     0.32040700     0.30801500     0.35008200     0.37292800     0.03670500    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.65072700     0.01156600    92.00804100     1.00000000     1.00000000     1.00000000     1.00000000     1.00000000    76.48749500    83.64549300    85.44550300    96.12204700    92.40450300   105.02462000   111.87838700         0.00404000        0.00348700     0.01021400     0.01021400    15.35000000    27.17660700    25.84835600    24.70150800    23.28628500    22.18957300    21.36015100    20.75057000      1.00000000
