ApsimVersion = 7.10 r0
Title = Sorghum_WaterStress
           Date            Das          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n         GreenN     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize             HI         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()           TPLA           SPLA   dlt_dm_green      sw_supply       radn_int   DeltaGreenWt       DeltaLAI DeltaGreenN(1) DeltaGreenN(2) DeltaGreenN(3) DeltaGreenN(4) DeltaGreenN(5) DeltaLeafGreenN      DeltaSLAI        DeltaTT           SPLA     SenescedWt      SenescedN  RootSenescedN RootSenescedWt LeafSenescedWt  LeafSenescedN         RLV(1)         RLV(2)         RLV(3)         RLV(4)         RLV(5)         RLV(6)         RLV(7)         RLV(8)         RLV(9)        RLV(10)      RootDepth RootProportion(1) RootProportion(2) RootProportion(3) RootProportion(4) RootProportion(5) RootProportion(6) RootProportion(7) RootProportion(8) RootProportion(9) RootProportion(10) sum(sw_uptake) n_total_uptake  n_supply_soil   n_cum_uptake      sw_demand  sw_deficit(1)  sw_deficit(2)  sw_deficit(3)  sw_deficit(4)  sw_deficit(5)  sw_deficit(6)  sw_deficit(7)  sw_deficit(8)  sw_deficit(9) sw_deficit(10)     root_depth         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)   sw_uptake(1)   sw_uptake(2)   sw_uptake(3)   sw_uptake(4)   sw_uptake(5)   sw_uptake(6)   sw_uptake(7)   sw_uptake(8)   sw_uptake(9)  sw_uptake(10)     n_sd_ratio     no3_demand
   (dd/mm/yyyy)         (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)             ()       (leaves)        (m2/m2)        (m2/m2)           (mm)        (kg/ha)      (g(N)/m2)             ()        (mm/mm)           (m2)           (m2)        (g/m^2)           (mm)             ()        (g/m^2)        (m2/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (m2/m2)          (oCd)           (m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)             (0-1)              (0-1)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)             ()        (g/m^2)
     08/01/1997              0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000         11.025          103.3          0.000          1.000          2.935          0.000          0.000           0.00          0.000          0.000           0.00          0.000           0.00           0.00           0.00           0.00           0.00            0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00           0.00          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000             0.000             0.000             0.000             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.000           0.00           0.00           0.00          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           13.9            2.2            3.3            2.5            3.1            4.5           11.6           18.5           19.3           24.4          0.226          0.252          0.270          0.300          0.268          0.304          0.335          0.330          0.320          0.330          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.00
     09/01/1997              0          1.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000         58.389          103.4          0.000          1.000          3.349          0.000          0.000           0.00          0.000          0.000           0.00          0.000           0.00           0.00           0.00           0.00           0.00            0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00           0.00          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000             0.000             0.000             0.000             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.000           0.00           0.00           0.00          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            8.3            6.2            5.0            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.398          0.434          0.330          0.300          0.268          0.304          0.335          0.330          0.320          0.330          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.00
     10/01/1997              1          1.999            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000         54.308          103.5          0.000          1.000          3.305          0.000          0.000           0.00          0.000          0.000           0.00          0.000           0.00           0.00           0.00           0.00           0.00            0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00           0.00          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000             0.000             0.000             0.000             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.000           0.00           0.00           0.00          0.000          5.822         -0.360         25.454         32.002         32.373         19.200          7.000          0.000          0.000          0.000          0.000            8.4            6.0            5.2            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.362          0.424          0.333          0.300          0.268          0.304          0.335          0.330          0.320          0.330         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.000           0.00
     11/01/1997              2          2.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000         51.813          103.5          0.000          1.000          3.279          0.000          0.000           0.00          0.000          0.000           0.00          0.000           0.00           0.00           0.00           0.00           0.00            0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00           0.00          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         57.000             0.113             0.000             0.000             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.000           0.00           0.00           0.00          0.000          7.926          0.340         25.164         31.994         32.363         19.200          7.000          0.000          0.000          0.000         57.000            8.6            5.8            5.2            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.341          0.417          0.334          0.300          0.268          0.304          0.335          0.330          0.320          0.330         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.000           0.00
     12/01/1997              3          2.294            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000         49.838          103.6          0.000          1.000          3.258          0.000          0.000           0.00          0.044          0.000           0.00          0.000           0.00           0.00           0.00           0.00           0.00            0.00          0.000          9.700          0.000           0.00           0.00           0.00           0.00           0.00           0.00          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         84.000             0.244             0.000             0.000             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.000           0.00           0.00           0.00          0.000          9.533          0.887         25.003         31.984         32.354         19.200          7.000          0.000          0.000          0.000         84.000            8.7            5.7            5.2            2.6            3.1            4.5           11.6           18.5           19.3           24.4          0.325          0.411          0.335          0.300          0.268          0.304          0.335          0.330          0.320          0.330         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.000           0.00
     13/01/1997              4          2.574            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000         48.152          103.6          0.000          1.000          3.240          0.000          0.000           0.00          0.123          0.000           0.00          0.000           0.00           0.00           0.00           0.00           0.00            0.00          0.000          9.250          0.000           0.00           0.00           0.00           0.00           0.00           0.00          0.119          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        111.000             0.396             0.015             0.000             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.000           0.00           0.00           0.00          0.000         10.876          1.390         24.862         31.975         32.345         19.200          7.000          0.000          0.000          0.000        111.000            8.8            5.5            5.2            2.7            3.1            4.5           11.6           18.5           19.3           24.4          0.311          0.406          0.336          0.300          0.268          0.304          0.335          0.330          0.320          0.330         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.000           0.00
     14/01/1997              5          2.812            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000         46.656          103.6          0.000          1.000          3.225          0.000          0.000           0.00          0.206          0.000           0.00          0.000           0.00           0.00           0.00           0.00           0.00            0.00          0.000          7.850          0.000           0.00           0.00           0.00           0.00           0.00           0.00          0.090          0.090          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        138.000             0.514             0.106             0.000             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.000           0.00           0.00           0.00          0.000         12.052          1.853         24.738         31.965         32.336         19.200          7.000          0.000          0.000          0.000        138.000            8.9            5.4            5.2            2.7            3.1            4.5           11.6           18.5           19.3           24.4          0.299          0.401          0.336          0.300          0.268          0.304          0.335          0.330          0.320          0.330         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.000           0.00
     15/01/1997              6          3.000           20.0           3.00           2.00           1.00           1.00           1.00           0.00           0.00           0.03           0.05           0.02           0.00           0.03           0.00           0.00           0.000          0.000          0.000          0.000          1.000          0.002          0.000         45.298          103.4          1.500          1.000          3.211          2.000          0.000           0.00          0.275          0.000           0.00          0.000           0.00           0.00           0.02           0.00           0.00            0.00          0.000          7.950          0.000           0.00           0.00           0.00           0.00           0.00           0.00          0.072          0.072          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        165.000             0.629             0.256             0.000             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.000           0.02           0.02           0.02          0.000         13.112          2.281         24.628         31.954         32.327         19.200          7.000          0.000          0.000          0.000        165.000            8.9            5.3            5.2            2.7            3.1            4.5           11.6           18.5           19.3           24.4          0.289          0.397          0.337          0.300          0.268          0.304          0.335          0.330          0.320          0.330         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.484           0.04
     16/01/1997              7          3.090           20.2           3.05           2.02           1.02           1.02           1.00           0.00           0.00           0.05           0.07           0.02           0.01           0.04           0.00           0.00           0.000          0.000          0.000          0.000          1.194          0.006          0.000         44.040          103.3          1.532          1.000          3.197          5.643          0.000           0.05          0.428          0.023           0.02          0.004           0.00           0.01           0.01           0.00           0.00            0.01          0.000          7.250          0.000           0.00           0.00           0.00           0.00           0.00           0.00          0.061          0.061          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        192.000             0.742             0.459             0.000             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.004           0.01           0.01           0.04          0.004         14.086          2.677         24.531         31.944         32.318         19.200          7.000          0.000          0.000          0.000        192.000            9.0            5.1            5.2            2.7            3.1            4.5           11.6           18.5           19.3           24.4          0.279          0.393          0.337          0.300          0.268          0.304          0.335          0.330          0.320          0.330          0.002          0.002         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.502           0.03
     17/01/1997              8          3.210           21.0           3.20           2.10           1.09           1.10           1.00           0.00           0.00           0.06           0.08           0.02           0.01           0.04           0.00           0.00           0.000          0.000          0.000          0.000          1.371          0.009          0.000         42.854          103.2          1.499          1.000          3.185          8.904          0.000           0.15          0.712          0.061           0.08          0.003           0.00           0.00           0.00           0.00           0.00            0.00          0.000         11.972          0.000           0.01           0.00           0.00           0.01           0.00           0.00          0.047          0.052          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        219.000             0.853             0.638             0.024             0.000             0.000             0.000             0.000             0.000             0.000              0.000          0.017           0.01           0.01           0.04          0.017         14.995          3.048         24.446         31.933         32.308         19.200          7.000          0.000          0.000          0.000        219.000            9.0            5.0            5.2            2.7            3.1            4.5           11.6           18.5           19.3           24.4          0.270          0.389          0.338          0.300          0.268          0.304          0.335          0.330          0.320          0.330          0.005          0.011         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000         -0.000          0.510           0.02
